id_client,region,age,genre,niveau_education,activite,revenu_mensuel_ghs,montant_credit_ghs,duree_mois,historique_remboursement,zone_rurale,nbr_dependants,garantie_type,defaut_paiement
GH000159,Northern,21,F,Superieur,Artisanat,710,13200,12,Moyen,1,3,Épargne,0
GH000160,Eastern,61,F,Secondaire,Transport,820,2400,12,Moyen,0,0,Bien immobilier,0
GH000161,Northern,64,F,Primaire,Transport,250,900,18,Bon,0,6,Garant,0
GH000162,Central,25,M,Superieur,Agriculture,870,8000,12,Excellent,1,4,Épargne,0
GH000163,Volta,47,F,Primaire,Restauration,590,11700,18,Bon,1,5,Aucune,0
GH000164,Central,47,F,Primaire,Transport,200,1800,18,Premier,1,7,Garant,0
GH000165,Volta,63,F,Primaire,Pêche,330,1100,12,Bon,1,4,Aucune,0
GH000166,Volta,63,M,Secondaire,Services,480,1500,12,Excellent,0,4,Épargne,0
GH000167,Greater Accra,39,F,Primaire,Pêche,3010,3400,36,Excellent,1,0,Épargne,0
GH000168,Western,49,M,Primaire,Pêche,1040,5700,12,Excellent,0,2,Épargne,0
GH000169,Western,30,M,Aucun,Transport,230,3000,12,Excellent,0,0,Garant,0
GH000170,Central,47,F,Secondaire,Services,980,2000,6,Bon,0,7,Épargne,0
GH000171,Western,44,M,Primaire,Pêche,200,7000,12,Bon,0,5,Aucune,0
GH000172,Central,58,M,Primaire,Artisanat,1580,1400,12,Mauvais,0,6,Bien immobilier,0
GH000173,Northern,52,F,Secondaire,Transport,460,4600,6,Mauvais,0,5,Aucune,0
GH000174,Eastern,20,F,Secondaire,Pêche,620,1400,6,Bon,0,6,Épargne,0
GH000175,Northern,46,F,Secondaire,Restauration,1920,2700,18,Mauvais,0,2,Garant,0
GH000176,Eastern,32,F,Primaire,Artisanat,240,1600,12,Bon,0,7,Aucune,0
GH000177,Greater Accra,60,F,Secondaire,Services,220,1700,6,Moyen,0,1,Aucune,0
GH000178,Ashanti,22,M,Primaire,Artisanat,420,1300,24,Excellent,0,1,Aucune,0
GH000179,Ashanti,58,M,Aucun,Transport,1530,6100,18,Excellent,0,2,Garant,0
GH000180,Northern,25,F,Secondaire,Artisanat,200,900,12,Excellent,0,7,Aucune,0
GH000181,Western,27,M,Secondaire,Agriculture,200,900,24,Bon,0,7,Garant,0
GH000182,Ashanti,46,F,Secondaire,Artisanat,460,12200,12,Moyen,1,6,Garant,0
GH000183,Eastern,28,F,Superieur,Restauration,1030,4400,12,Excellent,0,5,Garant,0
GH000184,Greater Accra,56,M,Secondaire,Services,1740,500,24,Excellent,0,6,Garant,0
GH000185,Eastern,52,F,Aucun,Transport,460,1100,12,Premier,1,2,Garant,1
GH000186,Volta,61,F,Superieur,Transport,480,500,24,Moyen,0,6,Garant,0
GH000187,Central,63,M,Primaire,Pêche,1670,800,24,Bon,1,3,Épargne,0
GH000188,Western,43,M,Secondaire,Services,200,500,12,Excellent,1,2,Garant,0
GH000189,Western,34,F,Primaire,Agriculture,490,1600,6,Mauvais,0,2,Épargne,0
GH000190,Ashanti,51,M,Primaire,Pêche,770,600,6,Excellent,1,4,Garant,1
GH000191,Central,51,M,Secondaire,Commerce,950,1900,6,Moyen,1,7,Garant,0
GH000192,Ashanti,43,M,Primaire,Agriculture,440,500,24,Moyen,0,7,Aucune,0
GH000193,Volta,60,F,Secondaire,Services,680,1900,12,Bon,1,0,Garant,0
GH000194,Ashanti,31,F,Secondaire,Restauration,200,1200,6,Premier,1,2,Garant,0
GH000195,Ashanti,58,F,Primaire,Agriculture,390,7000,18,Excellent,0,7,Épargne,0
GH000196,Central,21,F,Secondaire,Artisanat,960,6400,12,Mauvais,0,4,Aucune,0
GH000197,Ashanti,22,F,Secondaire,Agriculture,300,3700,12,Bon,0,2,Bien immobilier,0
GH000198,Volta,56,F,Secondaire,Artisanat,700,1300,12,Moyen,0,7,Aucune,0
GH000199,Western,36,F,Secondaire,Pêche,950,10800,18,Premier,0,3,Garant,0
GH000200,Ashanti,21,M,Primaire,Agriculture,510,500,6,Bon,0,2,Bien immobilier,0
GH000201,Central,21,F,Primaire,Agriculture,760,500,12,Moyen,0,2,Aucune,0
GH000202,Central,47,M,Primaire,Restauration,310,1700,6,Excellent,1,4,Épargne,0
GH000203,Eastern,42,F,Primaire,Commerce,560,13700,18,Mauvais,1,2,Bien immobilier,0
GH000204,Ashanti,56,M,Secondaire,Agriculture,1080,1500,12,Moyen,0,4,Épargne,0
GH000205,Central,51,F,Aucun,Pêche,750,1500,6,Premier,0,6,Aucune,0
GH000206,Northern,52,F,Superieur,Artisanat,420,500,12,Premier,0,7,Garant,0
GH000207,Ashanti,20,M,Secondaire,Pêche,800,4200,18,Excellent,1,0,Aucune,0
GH000208,Greater Accra,38,M,Primaire,Services,1180,4300,12,Bon,0,4,Épargne,0
GH000209,Western,21,M,Aucun,Transport,200,3700,18,Premier,0,5,Bien immobilier,1
GH000210,Western,63,F,Secondaire,Transport,1680,1000,12,Moyen,1,7,Garant,0
GH000211,Northern,45,M,Secondaire,Restauration,510,1000,18,Bon,0,6,Épargne,0
GH000212,Ashanti,51,F,Superieur,Transport,930,600,18,Excellent,0,0,Garant,0
GH000213,Volta,25,M,Primaire,Agriculture,1730,1900,24,Bon,1,5,Garant,1
GH000214,Western,51,M,Aucun,Services,220,700,12,Moyen,0,2,Épargne,0
GH000215,Western,23,F,Superieur,Commerce,380,600,12,Moyen,1,7,Bien immobilier,0
GH000216,Volta,30,F,Primaire,Commerce,530,1200,24,Bon,1,0,Épargne,0
GH000217,Greater Accra,36,M,Secondaire,Agriculture,360,1200,18,Excellent,0,1,Bien immobilier,0
GH000218,Western,57,F,Aucun,Commerce,2660,1100,36,Moyen,1,5,Aucune,0
GH000219,Western,43,F,Secondaire,Pêche,340,2800,6,Premier,0,1,Aucune,0
GH000220,Central,24,M,Aucun,Artisanat,430,1900,18,Bon,1,4,Garant,0
GH000221,Western,53,M,Secondaire,Agriculture,780,1400,12,Premier,0,3,Bien immobilier,0
GH000222,Ashanti,25,F,Secondaire,Transport,250,2100,18,Bon,1,2,Bien immobilier,1
GH000223,Western,41,M,Superieur,Artisanat,480,700,36,Mauvais,1,6,Garant,1
GH000224,Ashanti,30,M,Aucun,Commerce,860,2000,12,Moyen,1,5,Garant,0
GH000225,Western,35,F,Primaire,Restauration,510,2100,18,Premier,1,6,Aucune,0
GH000226,Ashanti,52,M,Aucun,Services,620,500,12,Moyen,0,7,Aucune,0
GH000227,Western,28,M,Superieur,Artisanat,440,4400,12,Bon,0,1,Bien immobilier,1
GH000228,Northern,25,F,Secondaire,Services,200,800,12,Premier,0,7,Aucune,0
GH000229,Ashanti,35,M,Secondaire,Services,860,2000,6,Moyen,0,3,Bien immobilier,0
GH000230,Western,48,F,Aucun,Restauration,2710,5200,12,Excellent,1,4,Garant,0
GH000231,Volta,22,M,Primaire,Pêche,680,4200,12,Excellent,1,0,Garant,0
GH000232,Greater Accra,39,F,Primaire,Restauration,800,1900,12,Bon,0,2,Garant,0
GH000233,Central,55,F,Primaire,Artisanat,1160,1300,12,Moyen,0,5,Garant,0
GH000234,Central,38,M,Secondaire,Artisanat,240,4200,18,Moyen,1,0,Aucune,0
GH000235,Central,45,F,Aucun,Agriculture,2600,3300,12,Bon,0,2,Garant,0
GH000236,Volta,22,F,Secondaire,Transport,780,1000,12,Excellent,1,1,Garant,0
GH000237,Central,38,M,Secondaire,Restauration,2450,900,12,Bon,0,7,Bien immobilier,0
GH000238,Volta,39,F,Superieur,Pêche,370,500,24,Excellent,0,3,Aucune,0
GH000239,Greater Accra,51,F,Secondaire,Agriculture,2850,2100,6,Bon,1,4,Aucune,0
GH000240,Northern,26,F,Primaire,Agriculture,1240,1700,36,Premier,0,7,Garant,0
GH000241,Northern,60,F,Secondaire,Pêche,1040,5000,12,Mauvais,0,2,Aucune,1
GH000242,Greater Accra,52,M,Aucun,Agriculture,800,2500,12,Bon,1,1,Épargne,0
GH000243,Western,59,M,Aucun,Pêche,550,6000,12,Bon,0,5,Garant,0
GH000244,Greater Accra,58,F,Secondaire,Commerce,1740,1000,6,Bon,1,4,Bien immobilier,0
GH000245,Central,37,F,Superieur,Agriculture,740,5000,12,Excellent,1,2,Garant,0
GH000246,Volta,59,M,Aucun,Artisanat,200,1100,12,Premier,1,6,Garant,0
GH000247,Northern,20,F,Aucun,Commerce,270,3600,18,Bon,1,1,Garant,0
GH000248,Eastern,30,M,Secondaire,Agriculture,570,500,6,Bon,0,4,Garant,0
GH000249,Western,47,F,Primaire,Pêche,850,2200,18,Moyen,1,0,Épargne,0
GH000250,Ashanti,44,F,Secondaire,Commerce,640,500,24,Excellent,0,7,Aucune,0
GH000251,Northern,42,F,Primaire,Transport,1760,1400,18,Excellent,1,6,Bien immobilier,0
GH000252,Central,50,F,Aucun,Commerce,200,2700,12,Excellent,0,3,Garant,0
GH000253,Volta,49,M,Secondaire,Artisanat,750,1100,6,Bon,0,3,Aucune,0
GH000254,Northern,61,M,Superieur,Agriculture,200,700,6,Excellent,1,5,Aucune,0
GH000255,Volta,54,F,Secondaire,Agriculture,1220,3900,18,Premier,1,6,Garant,0
GH000256,Central,26,M,Secondaire,Pêche,620,1600,18,Moyen,0,6,Garant,0
GH000257,Central,35,F,Primaire,Commerce,930,1200,12,Mauvais,0,5,Épargne,0
GH000258,Northern,45,F,Superieur,Artisanat,330,1900,6,Mauvais,0,0,Épargne,0
GH000259,Northern,21,F,Primaire,Pêche,1850,19400,12,Moyen,1,7,Épargne,0
GH000260,Northern,20,M,Superieur,Transport,1530,5100,24,Excellent,0,7,Garant,0
GH000261,Greater Accra,31,M,Primaire,Pêche,1060,5100,12,Moyen,0,3,Garant,0
GH000262,Northern,24,F,Primaire,Artisanat,600,2700,36,Excellent,0,3,Garant,0
GH000263,Volta,56,M,Primaire,Agriculture,1060,2100,36,Excellent,0,2,Garant,0
GH000264,Ashanti,51,F,Secondaire,Artisanat,380,500,24,Moyen,0,1,Garant,0
GH000265,Western,28,F,Aucun,Agriculture,1320,1000,12,Moyen,0,0,Bien immobilier,0
GH000266,Central,60,M,Superieur,Restauration,2490,1200,12,Excellent,0,5,Aucune,0
GH000267,Northern,54,M,Primaire,Commerce,1570,500,12,Bon,1,1,Aucune,0
GH000268,Ashanti,38,F,Primaire,Artisanat,370,600,36,Excellent,1,7,Épargne,0
GH000269,Eastern,35,F,Primaire,Transport,890,500,12,Moyen,1,7,Garant,0
GH000270,Volta,22,F,Aucun,Transport,240,1700,18,Premier,1,3,Garant,0
GH000271,Northern,39,F,Secondaire,Services,1050,3800,36,Moyen,1,1,Bien immobilier,0
GH000272,Greater Accra,43,F,Secondaire,Pêche,950,4900,24,Mauvais,0,4,Épargne,0
GH000273,Central,52,F,Secondaire,Agriculture,200,2600,18,Bon,0,0,Bien immobilier,0
GH000274,Ashanti,43,M,Aucun,Commerce,260,800,12,Excellent,1,0,Garant,0
GH000275,Volta,30,F,Superieur,Transport,530,500,12,Moyen,1,6,Bien immobilier,0
GH000276,Northern,27,M,Primaire,Commerce,520,500,12,Bon,0,6,Bien immobilier,0
GH000277,Ashanti,55,F,Superieur,Artisanat,250,600,36,Bon,0,7,Épargne,0
GH000278,Central,57,F,Aucun,Pêche,910,800,24,Moyen,1,0,Épargne,0
GH000279,Ashanti,59,M,Secondaire,Transport,810,1600,12,Premier,0,2,Garant,0
GH000280,Ashanti,39,M,Secondaire,Artisanat,570,700,12,Bon,0,1,Garant,0
GH000281,Volta,54,F,Primaire,Pêche,360,2500,18,Premier,0,1,Bien immobilier,1
GH000282,Northern,44,M,Aucun,Restauration,1540,1500,12,Bon,0,7,Garant,0
GH000283,Northern,54,F,Secondaire,Artisanat,2500,1800,6,Excellent,1,5,Épargne,0
GH000284,Volta,44,M,Aucun,Services,450,5000,12,Bon,0,2,Épargne,0
GH000285,Western,48,F,Secondaire,Agriculture,410,600,36,Mauvais,0,0,Bien immobilier,0
GH000286,Greater Accra,37,M,Secondaire,Artisanat,990,2600,36,Bon,0,2,Garant,0
GH000287,Western,37,F,Secondaire,Artisanat,500,1800,18,Moyen,1,2,Épargne,0
GH000288,Greater Accra,21,M,Superieur,Transport,590,1300,18,Bon,0,3,Garant,1
GH000289,Greater Accra,54,M,Primaire,Services,1200,4000,12,Bon,0,0,Épargne,0
GH000290,Western,35,M,Primaire,Restauration,200,4000,18,Bon,1,5,Bien immobilier,0
GH000291,Volta,60,F,Primaire,Transport,1910,800,6,Excellent,0,4,Garant,0
GH000292,Central,55,M,Secondaire,Restauration,700,1500,12,Bon,1,5,Garant,0
GH000293,Volta,52,F,Superieur,Transport,480,2300,6,Bon,1,3,Épargne,0
GH000294,Ashanti,23,M,Superieur,Artisanat,620,1400,12,Mauvais,0,0,Épargne,0
GH000295,Eastern,52,F,Superieur,Pêche,650,3100,24,Mauvais,0,6,Garant,0
