commune,surface_m2,nbr_chambres,etage,type_logement,distance_centre_km,annee_construction,etat,parking,gardiennage,prix_fcfa
Abobo,81,3,3,Appartement,13.6,2012,À rénover,1,0,9000000
Cocody,131,2,3,Appartement,8.5,2012,Bon état,0,0,39500000
Abobo,44,2,2,Appartement,14.6,1986,Bon état,0,1,5300000
Plateau,76,2,0,Studio,23.1,1983,Bon état,1,0,41300000
Cocody,91,2,1,Duplex,2.5,2007,Neuf,0,0,26800000
Treichville,104,2,1,Appartement,1.5,2002,Bon état,1,0,17700000
Treichville,80,3,1,Appartement,5.3,2011,Bon état,1,1,18400000
Koumassi,61,3,3,Villa,9.7,2023,Bon état,0,0,6800000
Marcory,49,2,1,Villa,2.1,1995,Bon état,1,0,10400000
Cocody,77,3,0,Appartement,0.5,1989,Bon état,0,0,25100000
Adjamé,43,1,1,Duplex,3.4,1993,À rénover,1,1,7200000
Yopougon,20,1,5,Villa,27.8,2018,Neuf,1,1,5000000
Plateau,92,2,0,Appartement,9.5,2015,Bon état,1,0,32100000
Yopougon,116,3,2,Villa,4.1,2013,Bon état,1,1,17100000
Cocody,23,2,1,Duplex,1.7,2003,Bon état,1,0,6200000
Port-Bouet,44,2,0,Studio,3.5,1997,Bon état,0,1,6300000
Marcory,100,2,1,Appartement,1.5,1995,Bon état,1,1,22600000
Adjamé,206,4,2,Appartement,0.9,2020,À rénover,1,1,31000000
Marcory,74,1,1,Appartement,19.0,2016,Neuf,1,0,13900000
Abobo,51,3,3,Appartement,40.0,2020,Bon état,1,1,5500000
Abobo,67,3,0,Villa,1.4,2004,Neuf,0,1,9300000
Plateau,147,3,0,Studio,0.5,1987,Neuf,1,1,75800000
Treichville,53,4,4,Villa,3.2,2003,Bon état,1,0,10000000
Koumassi,49,1,1,Duplex,5.0,1999,Neuf,1,0,5000000
Port-Bouet,58,2,2,Appartement,1.8,2009,À rénover,1,1,9800000
Port-Bouet,46,4,3,Studio,2.9,1999,À rénover,0,0,9100000
Abobo,78,2,1,Studio,1.8,1997,Bon état,1,1,9600000
Port-Bouet,166,3,2,Appartement,11.9,1983,Bon état,0,0,28700000
Cocody,87,3,0,Villa,10.0,2015,Bon état,1,1,27400000
Plateau,65,3,0,Appartement,8.1,1985,À rénover,1,0,27800000
Cocody,64,4,0,Studio,3.9,1982,Bon état,1,0,25700000
Yopougon,34,5,3,Villa,19.2,1997,Neuf,1,0,5000000
Yopougon,115,3,0,Appartement,27.9,2019,Bon état,1,0,16400000
Marcory,71,2,2,Villa,1.5,1997,Bon état,0,1,15800000
Koumassi,67,4,4,Villa,2.0,2002,Bon état,0,1,10000000
Yopougon,364,1,1,Appartement,6.0,2014,À rénover,0,1,59600000
Marcory,86,2,1,Appartement,0.8,1985,À rénover,1,1,16800000
Abobo,51,4,1,Appartement,4.6,2005,Bon état,1,1,6900000
Plateau,60,2,1,Villa,7.0,2000,Bon état,1,0,24600000
Koumassi,131,2,1,Studio,5.9,2003,À rénover,1,0,18100000
Cocody,78,1,2,Duplex,3.2,1994,Bon état,1,0,15800000
Treichville,36,4,5,Villa,6.3,2006,Bon état,0,1,7900000
Koumassi,117,3,4,Studio,25.5,2011,Neuf,0,0,21900000
Plateau,53,3,3,Appartement,1.8,1991,À rénover,0,0,20400000
Cocody,188,2,3,Villa,8.5,1984,Bon état,1,1,49600000
Koumassi,126,3,1,Appartement,0.5,1986,Neuf,0,1,23300000
Adjamé,59,3,2,Appartement,0.5,2001,À rénover,1,1,9800000
Adjamé,140,2,3,Villa,6.4,2006,Bon état,1,1,20900000
Koumassi,76,2,1,Appartement,0.9,1994,À rénover,1,1,11700000
Cocody,113,2,4,Villa,0.5,2018,Neuf,0,0,38100000
Yopougon,94,5,1,Studio,1.5,2014,Bon état,0,1,21900000
Cocody,48,3,2,Appartement,6.7,2005,Bon état,0,1,17500000
Port-Bouet,53,4,2,Appartement,9.7,2002,Bon état,1,0,12300000
Abobo,123,2,4,Studio,1.8,1992,Bon état,0,0,13500000
Yopougon,62,3,0,Studio,8.8,2005,À rénover,1,0,7900000
Cocody,60,3,2,Appartement,1.6,1982,Bon état,1,0,19700000
Marcory,46,3,1,Appartement,7.6,2008,À rénover,0,1,10800000
Yopougon,91,5,0,Villa,4.2,1981,Neuf,1,0,13100000
Adjamé,207,2,3,Villa,8.5,2007,Bon état,1,0,32700000
Abobo,43,1,2,Appartement,40.0,2002,Neuf,1,1,5000000
Port-Bouet,75,3,2,Appartement,22.2,2015,Bon état,0,1,14700000
Yopougon,149,3,1,Studio,0.5,1985,Bon état,0,1,24200000
Cocody,71,3,1,Villa,17.3,1990,À rénover,0,1,24100000
Adjamé,92,2,2,Duplex,0.6,2017,Bon état,0,0,13800000
Koumassi,43,3,1,Studio,24.5,2013,Bon état,1,1,6400000
Abobo,91,2,0,Duplex,2.6,1996,Bon état,1,0,8900000
Koumassi,67,2,4,Appartement,3.9,1982,Neuf,1,0,12800000
Yopougon,121,3,1,Studio,0.8,2023,Neuf,0,0,18300000
Abobo,133,3,2,Appartement,1.0,2013,Bon état,0,0,16400000
Yopougon,269,2,1,Villa,10.4,2001,Bon état,1,1,32500000
Cocody,98,2,1,Appartement,23.1,2008,Bon état,0,1,42700000
Cocody,87,2,1,Appartement,7.5,2008,Bon état,0,1,22100000
Cocody,81,2,1,Studio,10.1,1984,Bon état,1,0,22900000
Abobo,62,3,1,Studio,11.5,1989,Bon état,0,1,8400000
Marcory,87,4,1,Appartement,2.4,1989,À rénover,1,1,23500000
Abobo,64,2,1,Villa,0.5,1988,Bon état,0,0,8700000
Port-Bouet,80,3,0,Appartement,0.5,2000,Bon état,1,1,18900000
Marcory,142,4,1,Appartement,3.5,1992,Bon état,1,0,37900000
Yopougon,45,4,0,Studio,2.2,1989,À rénover,0,0,6100000
Koumassi,130,2,0,Appartement,0.5,2017,Bon état,1,1,18900000
Marcory,142,5,4,Duplex,1.6,1990,Bon état,1,1,39200000
Cocody,69,2,2,Appartement,1.1,1983,Bon état,1,0,27300000
Marcory,26,2,2,Villa,19.7,2010,Bon état,0,1,5000000
Plateau,54,1,1,Villa,1.2,2013,Bon état,1,1,22300000
Port-Bouet,141,2,4,Appartement,6.2,2021,Neuf,1,1,25000000
Koumassi,73,1,2,Appartement,7.2,2014,Bon état,1,0,11500000
Abobo,45,2,3,Studio,6.3,2018,Bon état,1,0,5300000
Port-Bouet,57,2,1,Studio,0.8,2018,Neuf,1,0,8600000
Koumassi,112,4,4,Appartement,3.1,2012,Bon état,1,1,21600000
Plateau,97,4,3,Villa,0.5,1987,Neuf,0,0,46200000
Port-Bouet,65,2,3,Appartement,4.0,2011,À rénover,0,0,12900000
Abobo,61,4,0,Appartement,1.7,2012,Bon état,1,0,8300000
Koumassi,61,4,0,Appartement,6.6,1987,À rénover,1,1,9600000
Port-Bouet,46,3,0,Appartement,9.4,1993,Bon état,1,1,6500000
Marcory,165,1,0,Studio,6.1,2013,À rénover,1,1,37100000
Cocody,63,3,3,Villa,4.6,1987,Bon état,1,0,21800000
Marcory,135,4,0,Duplex,3.9,2021,Bon état,1,0,28600000
Yopougon,158,3,0,Villa,14.7,1986,Bon état,0,1,21900000
Koumassi,121,2,0,Duplex,2.0,1992,Bon état,0,1,17000000
Port-Bouet,59,3,0,Villa,10.6,2000,Bon état,1,1,8500000
Cocody,90,3,0,Villa,11.3,2011,Bon état,1,1,25600000
Abobo,73,3,3,Duplex,4.3,1990,Neuf,1,1,7700000
Yopougon,47,1,2,Villa,2.8,1993,Bon état,0,1,5700000
Marcory,87,2,0,Appartement,5.1,1990,Bon état,1,1,16700000
Cocody,41,4,1,Villa,0.8,1981,Neuf,1,1,10800000
Yopougon,133,4,1,Duplex,0.5,2013,Bon état,0,0,27900000
Treichville,58,1,0,Studio,0.9,2023,Bon état,1,0,13100000
Yopougon,81,5,2,Villa,1.7,1996,À rénover,1,1,12300000
Abobo,85,2,2,Villa,5.6,1993,Neuf,1,0,10500000
Adjamé,65,3,2,Duplex,15.1,2004,Bon état,1,1,12000000
Yopougon,99,3,2,Appartement,2.1,2006,À rénover,1,0,17600000
Treichville,58,4,0,Villa,21.9,1987,Bon état,1,0,12000000
Treichville,114,4,4,Appartement,24.8,1996,Bon état,1,0,31300000
Marcory,38,2,3,Villa,25.5,1984,À rénover,1,0,7500000
Yopougon,79,4,4,Villa,14.5,1991,Bon état,0,0,10200000
Marcory,194,1,0,Appartement,3.6,2017,Bon état,1,0,43000000
Marcory,45,3,4,Appartement,0.6,1997,À rénover,1,1,12500000
Cocody,53,3,3,Villa,6.7,2005,À rénover,0,0,23900000
Abobo,95,3,3,Appartement,6.5,2010,Bon état,1,0,9900000
Abobo,81,2,0,Appartement,15.2,2016,Neuf,0,0,10600000
Cocody,88,4,2,Studio,40.0,1985,Bon état,1,1,28700000
Marcory,94,2,4,Appartement,5.7,2020,Neuf,0,1,22700000
Port-Bouet,101,1,2,Appartement,3.4,1994,Neuf,0,1,12600000
Marcory,128,3,2,Duplex,1.6,2021,Bon état,1,0,24100000
Plateau,90,2,4,Appartement,0.5,2005,À rénover,1,0,30100000
Yopougon,65,4,1,Appartement,5.7,1991,À rénover,1,1,10600000
Treichville,103,2,2,Villa,6.5,2020,Bon état,1,1,19100000
Marcory,191,2,1,Studio,13.9,1993,Bon état,1,0,45300000
Adjamé,69,4,4,Duplex,5.6,1980,Neuf,1,0,14800000
Koumassi,45,3,0,Duplex,19.9,1996,Bon état,1,0,8000000
Marcory,128,2,1,Studio,7.9,2012,Neuf,1,0,34400000
Adjamé,69,3,2,Appartement,14.7,2008,Bon état,0,1,12800000
Yopougon,25,3,3,Appartement,1.3,2010,Neuf,1,1,5000000
Abobo,113,3,2,Appartement,15.5,1987,À rénover,1,0,17400000
Abobo,56,2,4,Appartement,9.0,2009,Bon état,1,0,6000000
Abobo,70,4,4,Villa,1.5,1992,Bon état,0,1,10900000
Cocody,87,4,0,Villa,1.7,1995,Neuf,1,1,37300000
Koumassi,81,3,1,Appartement,20.9,1981,Bon état,1,1,14100000
Yopougon,105,1,0,Studio,0.5,1997,À rénover,1,0,10600000
Plateau,59,4,1,Appartement,5.0,2014,Bon état,1,1,22100000
Cocody,95,3,1,Appartement,3.0,1998,Bon état,1,0,37000000
Abobo,65,3,4,Villa,8.8,1992,Bon état,0,0,8100000
Adjamé,107,2,3,Appartement,14.6,1983,Bon état,1,0,17500000
Cocody,100,4,0,Appartement,3.6,1998,À rénover,1,1,38700000
Abobo,46,3,0,Appartement,4.5,2004,Bon état,1,0,6500000
Marcory,127,1,2,Appartement,32.1,2017,Bon état,0,1,26500000
Adjamé,56,2,1,Studio,12.3,2010,Bon état,1,0,8800000
Plateau,110,4,0,Duplex,18.2,2015,Bon état,1,0,45500000
Adjamé,89,1,3,Appartement,4.6,1983,Bon état,1,0,15100000
Yopougon,185,5,4,Appartement,2.1,2018,Neuf,1,0,34400000
Port-Bouet,66,3,1,Villa,4.2,1986,Bon état,1,0,11800000
Plateau,62,3,3,Duplex,10.1,1995,À rénover,0,0,29300000
Yopougon,73,2,1,Appartement,0.9,1984,Bon état,1,0,10100000
Cocody,63,2,2,Appartement,2.5,2002,Neuf,1,0,16600000
Port-Bouet,110,4,1,Studio,0.5,2015,À rénover,0,1,19300000
Port-Bouet,33,2,0,Villa,4.5,2011,Bon état,0,0,5000000
Marcory,44,3,4,Appartement,14.1,2003,Bon état,0,1,9800000
Adjamé,43,2,1,Villa,0.5,2004,Bon état,1,1,8300000
Koumassi,119,1,2,Appartement,9.0,2007,Bon état,0,0,14600000
Abobo,173,1,1,Villa,21.6,1998,Bon état,1,1,19600000
Abobo,70,3,0,Villa,2.2,1986,Bon état,0,1,8100000
Marcory,68,5,0,Studio,9.5,2023,Bon état,1,0,17300000
Cocody,76,2,1,Appartement,29.5,2020,Bon état,1,1,17800000
Port-Bouet,132,2,2,Appartement,26.2,1996,Bon état,1,1,22100000
Port-Bouet,46,2,1,Appartement,2.1,1981,Neuf,1,1,7700000
Abobo,83,3,2,Studio,0.8,1995,Bon état,1,1,11400000
Yopougon,120,2,2,Appartement,1.3,2018,Bon état,0,0,17400000
Yopougon,95,4,2,Appartement,9.7,1997,Bon état,1,0,12600000
Adjamé,81,3,1,Appartement,10.3,2018,Bon état,0,1,16400000
Port-Bouet,122,3,4,Studio,9.0,1980,Bon état,0,1,23400000
Port-Bouet,20,1,1,Appartement,3.3,1982,Neuf,1,1,5000000
Koumassi,103,5,1,Appartement,1.5,2000,À rénover,0,1,19000000
Adjamé,53,2,0,Appartement,7.0,2009,Neuf,1,0,7900000
Cocody,30,1,1,Studio,5.3,1990,Neuf,0,0,8700000
Plateau,95,3,0,Villa,10.4,2001,Bon état,1,1,41300000
Port-Bouet,146,3,2,Villa,4.7,2004,Bon état,0,1,20000000
Abobo,69,2,0,Studio,3.3,1982,Neuf,0,1,7500000
Cocody,119,2,1,Duplex,2.8,2009,À rénover,0,1,34600000
Cocody,165,3,3,Appartement,1.9,2003,À rénover,1,0,55700000
Adjamé,142,2,1,Duplex,2.5,2015,Bon état,1,1,27100000
Cocody,167,4,0,Appartement,0.8,2002,Bon état,1,1,51300000
Plateau,107,3,0,Appartement,3.4,1987,Bon état,1,1,40200000
Abobo,77,2,3,Studio,0.5,1983,Bon état,1,0,8400000
Adjamé,33,2,0,Appartement,1.7,2018,Bon état,1,0,5000000
Adjamé,65,2,1,Appartement,11.0,2022,À rénover,1,1,10000000
Marcory,48,3,1,Appartement,3.1,2010,À rénover,0,0,12400000
Adjamé,218,3,2,Villa,8.8,2008,À rénover,1,1,31900000
Marcory,67,2,2,Appartement,10.1,2015,Bon état,1,0,15400000
Yopougon,78,3,3,Villa,7.0,1992,Bon état,0,0,8800000
Koumassi,97,5,0,Studio,25.5,2020,Bon état,0,1,16400000
Adjamé,75,2,0,Villa,0.5,1988,Bon état,1,0,11500000
Port-Bouet,172,4,0,Appartement,10.7,2000,Bon état,1,1,42700000
Adjamé,54,2,0,Duplex,25.5,1982,Bon état,1,0,8400000
Abobo,81,1,0,Appartement,15.9,2004,Bon état,1,1,6000000
Cocody,51,2,1,Appartement,1.5,2004,Bon état,1,0,10800000
Yopougon,38,2,1,Appartement,3.2,1991,Bon état,0,0,5400000
Marcory,54,2,2,Villa,1.5,2008,À rénover,0,1,12700000
Marcory,72,1,1,Appartement,7.4,1990,Neuf,0,1,15200000
Treichville,59,4,2,Appartement,10.0,1990,Neuf,0,0,14200000
Yopougon,52,4,1,Appartement,3.1,2005,Bon état,0,1,9800000
Port-Bouet,36,3,0,Appartement,6.2,1993,Bon état,1,1,6100000
Abobo,71,2,1,Villa,9.4,1995,Bon état,1,1,9600000
Koumassi,35,1,0,Studio,4.4,1989,Neuf,1,1,5000000
Abobo,108,1,0,Studio,15.4,2010,Bon état,1,0,10300000
Abobo,77,3,1,Appartement,11.8,2010,Bon état,1,0,7200000
Yopougon,36,4,4,Appartement,0.5,2015,À rénover,1,0,5600000
Plateau,63,2,2,Duplex,7.8,1989,À rénover,1,1,23600000
Adjamé,51,1,0,Appartement,2.1,2005,Bon état,1,0,7800000
Marcory,86,3,3,Studio,6.5,1999,Bon état,0,0,20100000
Cocody,144,2,2,Appartement,25.2,2023,À rénover,1,0,37500000
Adjamé,29,2,2,Duplex,16.9,1988,Bon état,0,0,5000000
Plateau,78,3,3,Appartement,4.1,1994,Bon état,1,1,24600000
Treichville,68,3,1,Appartement,2.8,1988,À rénover,0,1,18100000
Treichville,103,1,0,Villa,2.1,1986,Bon état,1,1,18700000
Port-Bouet,82,1,1,Villa,6.1,2005,À rénover,1,1,12200000
Yopougon,51,5,1,Appartement,1.0,2003,Bon état,0,1,10800000
Cocody,63,2,1,Villa,6.4,1991,Bon état,1,1,15500000
Port-Bouet,50,1,2,Villa,0.5,1999,À rénover,0,0,6600000
Yopougon,126,2,4,Appartement,3.1,1993,Neuf,0,0,14800000
Treichville,74,1,4,Appartement,2.0,2001,Bon état,0,0,13900000
Treichville,191,2,3,Appartement,28.4,1995,Neuf,1,0,41700000
Port-Bouet,71,4,3,Appartement,10.4,2008,À rénover,0,1,15600000
Marcory,52,2,4,Villa,3.4,2011,Bon état,1,1,15600000
Yopougon,35,2,0,Appartement,0.8,1998,Neuf,0,0,5000000
Port-Bouet,30,3,0,Appartement,5.8,2014,Bon état,0,1,6100000
Marcory,33,3,1,Appartement,1.9,2022,Bon état,1,1,7000000
Plateau,84,4,3,Villa,6.2,2011,Bon état,0,0,33200000
Abobo,95,4,1,Appartement,14.4,1999,Bon état,0,1,11800000
Port-Bouet,33,1,2,Appartement,7.7,2019,À rénover,0,1,5000000
Adjamé,115,3,0,Appartement,8.0,1999,Bon état,1,1,25100000
Abobo,58,2,0,Duplex,6.2,1987,Bon état,1,1,7800000
Cocody,79,5,2,Appartement,21.0,2014,Neuf,0,0,29300000
Abobo,165,2,0,Villa,21.5,2021,À rénover,0,0,23600000
Treichville,115,5,1,Appartement,5.8,1992,Neuf,1,0,22300000
Plateau,64,3,0,Appartement,2.9,2020,Bon état,0,1,20800000
Abobo,47,2,1,Villa,4.9,1985,À rénover,1,0,5000000
Port-Bouet,25,3,2,Appartement,1.7,1995,Bon état,1,0,5000000
Koumassi,51,5,1,Duplex,8.1,1984,Bon état,1,1,9700000
Adjamé,66,4,2,Duplex,5.5,2013,Bon état,0,1,12500000
Adjamé,45,1,0,Studio,0.9,1985,Bon état,1,1,6900000
Yopougon,69,3,3,Villa,1.8,2012,Bon état,1,0,8200000
Marcory,77,2,1,Appartement,5.2,1994,À rénover,1,0,18600000
Koumassi,66,1,2,Appartement,17.5,1994,À rénover,1,0,9600000
Koumassi,53,2,2,Duplex,6.7,1993,Bon état,1,1,8900000
Port-Bouet,80,2,0,Villa,9.2,2018,Bon état,1,0,9900000
Port-Bouet,92,4,3,Villa,3.3,1984,Bon état,0,1,19100000
Abobo,43,2,2,Appartement,6.8,2005,Bon état,1,1,5000000
Abobo,149,4,1,Appartement,4.7,1996,Bon état,0,0,19100000
Koumassi,70,1,0,Duplex,8.6,2022,À rénover,1,0,10600000
Adjamé,74,2,4,Appartement,0.5,1995,Bon état,1,1,12200000
Adjamé,105,2,3,Appartement,5.4,2014,Bon état,1,1,14800000
Koumassi,83,2,0,Appartement,2.8,2017,Bon état,1,1,12600000
Port-Bouet,119,1,1,Studio,3.2,2002,Bon état,0,0,14700000
Yopougon,85,2,3,Appartement,25.9,1992,Neuf,0,0,14000000
Yopougon,54,3,2,Studio,1.6,2012,Bon état,1,1,7900000
Cocody,88,2,3,Appartement,3.0,2008,Bon état,1,1,31100000
Abobo,42,2,1,Studio,5.7,2013,Bon état,1,0,5000000
Cocody,78,2,2,Villa,15.9,2013,Bon état,0,1,21700000
Yopougon,72,4,1,Appartement,4.3,2006,Bon état,1,1,10300000
Abobo,66,4,0,Villa,10.9,1994,À rénover,1,0,10200000
Marcory,69,2,2,Appartement,15.5,1988,À rénover,1,1,13300000
Abobo,29,2,5,Appartement,3.0,2005,Bon état,1,0,5000000
Cocody,56,1,1,Studio,4.0,1982,Neuf,1,1,14800000
Cocody,77,5,1,Appartement,3.5,2015,À rénover,1,1,20000000
Koumassi,80,1,2,Appartement,14.3,1984,Bon état,1,0,10200000
Yopougon,44,2,1,Appartement,0.5,1999,Bon état,0,1,5100000
Plateau,139,2,3,Appartement,3.0,1999,Neuf,1,1,52800000
Abobo,48,2,3,Studio,9.1,1984,Neuf,1,1,5000000
Koumassi,120,2,0,Appartement,6.7,1989,Neuf,1,0,20700000
Marcory,91,3,5,Duplex,4.6,1995,Neuf,1,1,20800000
Abobo,53,1,3,Duplex,6.2,2004,À rénover,1,1,5700000
Cocody,179,3,3,Appartement,1.8,2023,Bon état,1,1,63900000
Cocody,41,1,2,Appartement,4.5,2004,Bon état,1,1,13100000
Abobo,117,1,3,Studio,5.6,2009,À rénover,1,0,12800000
Abobo,122,4,0,Appartement,18.5,1993,Bon état,1,0,14700000
Abobo,53,2,1,Appartement,2.4,2001,À rénover,0,1,5000000
Adjamé,148,4,3,Appartement,16.2,2022,À rénover,1,0,24700000
Treichville,65,3,0,Villa,8.3,2007,Bon état,1,1,13000000
Abobo,85,1,0,Studio,0.5,2009,À rénover,0,1,9500000
Yopougon,84,5,3,Appartement,10.3,1998,Bon état,0,0,13700000
Koumassi,69,2,3,Appartement,0.5,2017,Neuf,1,1,11500000
Marcory,111,4,0,Duplex,40.0,2021,Bon état,1,0,25000000
Yopougon,110,2,3,Studio,16.5,1999,Bon état,1,1,15300000
Cocody,31,4,2,Villa,2.8,2014,À rénover,0,0,12700000
Cocody,141,1,1,Studio,2.4,2001,Bon état,0,0,41500000
Treichville,32,3,3,Appartement,3.8,1994,Bon état,1,0,7000000
Koumassi,124,3,1,Studio,3.5,1990,Neuf,0,1,18300000
Adjamé,129,4,0,Appartement,3.7,2013,Bon état,0,0,21700000
Yopougon,43,4,0,Appartement,3.1,2003,Neuf,0,0,6000000
Plateau,60,4,1,Villa,7.8,1985,Bon état,0,0,23900000
Plateau,42,4,1,Appartement,1.4,1996,À rénover,0,0,20300000
Marcory,66,2,3,Duplex,15.0,2007,Bon état,1,1,13800000
Abobo,63,2,3,Appartement,13.4,2010,Bon état,0,0,6000000
Adjamé,109,2,2,Duplex,5.2,2015,Bon état,1,1,22300000
Adjamé,142,2,3,Duplex,15.3,1988,Neuf,1,1,24100000
Marcory,148,2,0,Appartement,2.3,1989,Bon état,1,1,25200000
Treichville,56,3,0,Studio,0.5,2000,Neuf,1,0,11500000
Adjamé,66,2,3,Appartement,7.7,2013,Bon état,1,1,10900000
Abobo,32,3,0,Duplex,4.9,2010,Neuf,1,0,5100000
Abobo,49,2,0,Appartement,6.7,2008,Neuf,1,1,5000000
Yopougon,119,2,2,Villa,18.4,2022,Bon état,1,1,19200000
Marcory,165,3,1,Appartement,28.0,2022,Bon état,1,1,46300000
Yopougon,40,3,3,Appartement,8.1,1990,Neuf,1,1,5500000
Koumassi,55,3,0,Appartement,11.6,2012,Bon état,0,1,8600000
Cocody,73,3,0,Appartement,0.7,1980,À rénover,1,1,20000000
Cocody,85,2,1,Studio,1.4,2000,Bon état,1,0,24900000
Cocody,49,3,2,Villa,10.6,2002,Neuf,1,0,15800000
Cocody,91,1,1,Villa,4.5,1988,Bon état,0,0,28000000
Port-Bouet,58,2,1,Appartement,4.7,1980,Bon état,0,0,11700000
Adjamé,73,2,3,Appartement,3.0,2000,Neuf,1,1,10500000
Yopougon,97,1,4,Appartement,7.5,2001,À rénover,0,1,8900000
Cocody,74,2,0,Studio,1.6,1983,À rénover,1,0,22300000
Yopougon,59,5,1,Duplex,7.9,1980,À rénover,1,1,10600000
Yopougon,70,5,1,Appartement,1.5,1989,À rénover,1,0,12500000
Plateau,71,2,4,Appartement,0.5,1994,Bon état,1,1,25500000
Yopougon,61,1,5,Appartement,3.2,2015,Bon état,1,1,8100000
Yopougon,65,2,0,Villa,2.1,2008,Bon état,1,1,11200000
Abobo,164,2,2,Villa,17.6,1984,À rénover,1,1,20600000
Abobo,98,4,1,Studio,0.5,2008,Bon état,1,0,12600000
Cocody,64,1,0,Appartement,1.6,2006,Bon état,1,1,16600000
Yopougon,104,3,0,Studio,6.4,2004,Bon état,1,0,15300000
Abobo,62,1,1,Villa,5.2,1995,À rénover,1,0,8500000
Abobo,132,5,1,Appartement,0.5,1995,Neuf,0,1,18600000
Port-Bouet,89,2,0,Villa,0.5,2015,Bon état,0,0,15300000
Adjamé,70,3,2,Appartement,35.4,2004,À rénover,1,1,11300000
Plateau,92,2,0,Appartement,8.6,2020,Bon état,0,1,40500000
Cocody,34,3,2,Studio,3.6,1980,À rénover,1,0,14300000
Adjamé,42,2,1,Appartement,5.1,1984,Bon état,0,1,7300000
Cocody,41,1,0,Studio,2.5,2020,Neuf,1,0,11600000
Abobo,79,4,1,Villa,3.4,1999,À rénover,0,1,10800000
Treichville,175,4,0,Appartement,8.4,1984,Bon état,1,1,26500000
Abobo,225,4,1,Villa,17.2,2015,Bon état,0,0,34100000
Yopougon,101,3,0,Villa,1.6,2008,Bon état,1,0,15500000
Adjamé,95,4,1,Appartement,14.7,2013,Bon état,0,0,18800000
Yopougon,30,1,0,Appartement,1.0,1997,Bon état,0,1,5000000
Abobo,56,2,2,Appartement,1.9,1981,Bon état,1,0,6300000
Treichville,50,2,3,Appartement,0.5,1995,Bon état,0,0,9600000
Yopougon,54,3,0,Appartement,1.2,2008,À rénover,0,1,9400000
Treichville,68,2,1,Appartement,19.9,2012,Bon état,1,1,13200000
Port-Bouet,58,1,0,Appartement,4.9,1995,Bon état,0,1,12200000
Plateau,27,3,2,Duplex,0.6,2014,Bon état,1,1,11700000
Cocody,107,4,0,Appartement,25.7,2022,Bon état,0,1,30000000
Cocody,43,2,1,Studio,16.9,2021,À rénover,0,1,12800000
Cocody,83,1,1,Villa,11.2,1996,Neuf,1,0,21000000
Cocody,208,2,4,Villa,21.7,1983,À rénover,0,1,42200000
Adjamé,47,2,1,Appartement,2.0,1983,Bon état,1,0,9400000
Cocody,21,2,2,Duplex,14.5,2004,Bon état,1,0,7000000
Marcory,64,3,1,Villa,9.4,2012,Neuf,0,1,16000000
Port-Bouet,128,3,4,Studio,16.3,1993,Bon état,1,0,24300000
Cocody,196,3,3,Appartement,12.8,2003,Bon état,0,1,50500000
Koumassi,40,2,0,Appartement,3.4,1990,Bon état,0,0,5600000
Marcory,94,4,3,Villa,11.9,2004,Bon état,0,0,26300000
Cocody,58,2,1,Appartement,2.4,2007,À rénover,1,1,14800000
Adjamé,70,2,3,Appartement,3.2,1986,Bon état,1,1,7000000
Abobo,276,4,3,Appartement,0.9,2015,Bon état,0,1,36400000
