region,village,superficie_ha,rendement_tonne_ha,type_semence,engrais_npk_kg,acces_irrigation,pluviometrie_mm,type_sol,annee,prix_vente_fcfa
Plateaux,Tohoun,5.22,2.06,Traditionnelle,193.0,1,1285.0,Ferrugineux,2019,222500.0
Kara,Tsévié,3.56,2.04,OPV,0.0,1,742.0,Ferralitique,2019,138900.0
Maritime,Dévé,2.19,3.15,Hybride,0.0,0,1456.0,Hydromorphe,2023,256500.0
Kara,Akplogan,1.24,2.25,Améliorée,83.0,0,877.0,Ferrugineux,2021,198400.0
Plateaux,Tohoun,5.91,2.27,Traditionnelle,0.0,0,1065.0,Hydromorphe,2020,215500.0
Plateaux,Bassar,2.65,2.1,Traditionnelle,55.0,0,1045.0,Vertisol,2019,195900.0
Maritime,Akplogan,1.12,1.73,Traditionnelle,133.0,0,1366.0,Ferrugineux,2021,162300.0
Plateaux,Bassar,1.28,2.97,OPV,0.0,1,1380.0,Ferralitique,2021,296700.0
Savanes,Bassar,4.56,2.05,OPV,90.0,1,1058.0,Ferralitique,2020,172100.0
Plateaux,Akplogan,0.61,2.92,Améliorée,0.0,0,1437.0,Hydromorphe,2023,310100.0
Kara,Akplogan,12.6,2.72,Améliorée,0.0,0,889.0,Vertisol,2022,272600.0
Kara,Bassar,0.85,2.39,OPV,0.0,0,709.0,Vertisol,2022,218000.0
Kara,Dévé,4.47,2.54,Améliorée,118.0,0,500.0,Hydromorphe,2021,290000.0
Kara,Mango,1.76,3.24,Hybride,0.0,0,936.0,Ferrugineux,2020,368500.0
Savanes,Tsévié,2.19,2.36,Hybride,186.0,0,1010.0,Ferrugineux,2022,250300.0
Centrale,Mango,5.81,2.03,OPV,130.0,0,947.0,Hydromorphe,2021,119500.0
Maritime,Dévé,1.83,2.31,Améliorée,97.0,0,1095.0,Ferrugineux,2023,263800.0
Kara,Tsévié,2.43,2.38,Traditionnelle,138.0,1,837.0,Ferrugineux,2022,248300.0
Plateaux,Akplogan,0.63,3.09,Hybride,98.0,0,1344.0,Ferrugineux,2021,368300.0
Kara,Tsévié,0.51,2.53,OPV,0.0,0,1147.0,Hydromorphe,2021,277500.0
Plateaux,Bassar,1.2,2.92,Améliorée,59.0,1,1351.0,Ferralitique,2019,332500.0
Plateaux,Mango,3.35,3.43,OPV,157.0,1,1474.0,Vertisol,2023,362200.0
Kara,Tsévié,0.82,1.51,Traditionnelle,104.0,0,1070.0,Ferralitique,2019,167600.0
Savanes,Bassar,0.8,1.3,Hybride,127.0,0,738.0,Ferrugineux,2020,154500.0
Plateaux,Dévé,1.82,2.58,OPV,78.0,1,,Hydromorphe,2019,251300.0
Plateaux,Tsévié,3.11,3.06,OPV,137.0,0,1031.0,Vertisol,2019,233000.0
Kara,Bassar,3.61,2.99,OPV,89.0,0,748.0,Ferrugineux,2022,273400.0
Plateaux,Dévé,0.99,2.37,Traditionnelle,114.0,0,1356.0,Vertisol,2021,236500.0
Plateaux,Akplogan,0.71,2.88,OPV,155.0,1,1192.0,Vertisol,2023,275900.0
Kara,Dévé,7.55,2.14,Traditionnelle,0.0,0,579.0,Ferralitique,2019,171500.0
Kara,Dévé,1.26,1.99,Traditionnelle,119.0,1,500.0,Ferrugineux,2023,149900.0
Maritime,Mango,5.3,1.94,Traditionnelle,49.0,0,986.0,Vertisol,2019,167300.0
Savanes,Bassar,5.48,2.36,Hybride,239.0,0,799.0,Ferralitique,2020,246700.0
Savanes,Tsévié,4.2,2.42,Hybride,189.0,0,800.0,Hydromorphe,2019,275600.0
Plateaux,Mango,0.96,3.73,OPV,148.0,0,1238.0,Vertisol,2022,394900.0
Savanes,Tohoun,4.81,1.97,OPV,0.0,0,1111.0,Ferrugineux,2021,211700.0
Plateaux,Dévé,4.17,3.15,Hybride,115.0,0,949.0,Hydromorphe,2020,296600.0
Maritime,Tohoun,2.77,2.42,Améliorée,,0,1237.0,Vertisol,2019,179500.0
Kara,Mango,1.53,2.89,Hybride,0.0,0,990.0,Vertisol,2023,258700.0
Kara,Bassar,1.26,1.79,Traditionnelle,130.0,1,656.0,Ferrugineux,2020,164200.0
Kara,Mango,0.82,2.87,Hybride,88.0,0,940.0,Vertisol,2020,255500.0
Savanes,Bassar,2.28,1.24,Traditionnelle,101.0,1,999.0,Ferrugineux,2019,118900.0
Maritime,Bassar,2.7,2.31,OPV,,0,1412.0,Ferrugineux,2020,232100.0
Savanes,Akplogan,1.61,2.02,Améliorée,184.0,1,551.0,Ferrugineux,2023,212700.0
Savanes,Dévé,2.11,2.1,OPV,181.0,1,763.0,Ferrugineux,2020,192500.0
Maritime,Mango,1.63,2.16,Traditionnelle,150.0,0,1288.0,Vertisol,2023,155900.0
Maritime,Bassar,3.06,1.8,Traditionnelle,0.0,1,1053.0,Hydromorphe,2019,160300.0
Maritime,Mango,6.29,1.88,Traditionnelle,0.0,0,1246.0,Hydromorphe,2021,179700.0
Maritime,Mango,0.95,2.6,Améliorée,131.0,1,828.0,Ferralitique,2020,284900.0
Kara,Bassar,1.7,3.38,Hybride,119.0,1,811.0,Ferrugineux,2021,298300.0
Centrale,Tsévié,0.88,2.04,OPV,125.0,0,810.0,Vertisol,2023,206700.0
Centrale,Tohoun,2.95,1.82,OPV,0.0,0,1107.0,Vertisol,2020,179100.0
Maritime,Dévé,3.76,3.01,Hybride,66.0,0,1412.0,Ferralitique,2022,287900.0
Centrale,Dévé,7.22,1.71,OPV,142.0,0,1128.0,Hydromorphe,2021,181400.0
Centrale,Tsévié,1.32,2.02,Améliorée,145.0,0,952.0,Vertisol,2020,176100.0
Maritime,Akplogan,8.0,2.23,OPV,147.0,1,1024.0,Ferralitique,2021,196700.0
Centrale,Tsévié,0.66,1.94,Traditionnelle,157.0,0,660.0,Hydromorphe,2020,184200.0
Savanes,Akplogan,2.81,2.18,Hybride,0.0,1,621.0,Vertisol,2019,190200.0
Plateaux,Akplogan,0.65,3.18,Améliorée,103.0,0,1487.0,Ferrugineux,2021,321100.0
Plateaux,Tsévié,6.11,3.88,Hybride,,1,1152.0,Ferralitique,2022,335200.0
Maritime,Dévé,2.39,2.75,Améliorée,0.0,1,1209.0,Vertisol,2022,269000.0
Kara,Tohoun,3.27,2.4,Traditionnelle,124.0,1,1052.0,Ferralitique,2023,224800.0
Maritime,Dévé,4.95,2.8,Hybride,159.0,0,1435.0,Ferralitique,2020,273600.0
Kara,Dévé,0.91,2.59,OPV,145.0,0,796.0,Ferralitique,2021,231500.0
Plateaux,Dévé,0.6,3.23,Améliorée,203.0,0,1588.0,Ferrugineux,2023,293400.0
Maritime,Tsévié,5.78,2.24,Hybride,208.0,0,1024.0,Hydromorphe,2021,215200.0
Savanes,Tsévié,1.45,1.72,OPV,123.0,0,975.0,Hydromorphe,2020,167900.0
Centrale,Tsévié,0.85,3.19,Hybride,0.0,1,919.0,Vertisol,2022,302600.0
Kara,Dévé,2.08,3.13,Hybride,0.0,0,970.0,Ferrugineux,2019,361200.0
Centrale,Tohoun,2.78,3.05,Hybride,98.0,0,958.0,Hydromorphe,2022,253500.0
Centrale,Akplogan,0.58,2.96,Améliorée,87.0,0,1131.0,Vertisol,2023,279200.0
Maritime,Mango,1.3,2.19,OPV,104.0,1,1376.0,Vertisol,2019,166400.0
Centrale,Akplogan,0.58,1.98,Traditionnelle,0.0,1,998.0,Ferralitique,2023,196900.0
Savanes,Akplogan,1.86,1.8,Améliorée,0.0,1,1052.0,Ferrugineux,2020,146800.0
Centrale,Mango,6.14,2.07,Améliorée,0.0,0,993.0,Hydromorphe,2019,189300.0
Maritime,Dévé,10.64,3.1,Améliorée,0.0,0,1434.0,Ferrugineux,2023,280700.0
Savanes,Tohoun,3.03,1.83,Traditionnelle,133.0,1,1036.0,Ferrugineux,2020,180100.0
Plateaux,Tohoun,0.94,2.86,OPV,0.0,0,1216.0,Hydromorphe,2022,252400.0
Centrale,Akplogan,6.41,1.88,OPV,0.0,0,1090.0,Hydromorphe,2020,165300.0
Maritime,Mango,2.32,2.38,OPV,0.0,0,1028.0,Ferrugineux,2021,266700.0
Plateaux,Bassar,0.92,3.49,Hybride,0.0,0,1206.0,Vertisol,2020,343300.0
Plateaux,Dévé,6.87,2.87,Hybride,0.0,0,770.0,Ferrugineux,2020,253700.0
Kara,Akplogan,4.04,2.45,Hybride,129.0,0,1000.0,Hydromorphe,2021,225000.0
Savanes,Tohoun,3.79,1.51,Traditionnelle,179.0,0,894.0,Ferrugineux,2023,173800.0
Centrale,Tsévié,3.59,2.51,Hybride,0.0,0,613.0,Hydromorphe,2023,231700.0
Maritime,Tsévié,1.06,1.74,Traditionnelle,111.0,0,1134.0,Vertisol,2020,150700.0
Kara,Mango,1.09,2.46,OPV,66.0,0,796.0,Ferrugineux,2021,213800.0
Savanes,Mango,3.41,2.17,Hybride,0.0,0,1059.0,Vertisol,2021,192200.0
Kara,Akplogan,1.12,3.71,Hybride,158.0,0,900.0,Ferrugineux,2022,326300.0
Savanes,Bassar,1.94,2.37,Améliorée,141.0,0,971.0,Ferrugineux,2023,188400.0
Savanes,Tohoun,4.31,1.49,Traditionnelle,137.0,0,728.0,Hydromorphe,2019,121500.0
Centrale,Akplogan,4.33,2.49,OPV,156.0,0,794.0,Ferralitique,2023,211800.0
Savanes,Bassar,2.01,1.93,Améliorée,0.0,0,817.0,Hydromorphe,2023,196700.0
Kara,Mango,4.43,3.26,Améliorée,102.0,0,1054.0,Ferrugineux,2022,294900.0
Savanes,Tsévié,5.06,1.66,OPV,207.0,1,1202.0,Ferralitique,2019,153300.0
Centrale,Dévé,3.16,2.69,Améliorée,110.0,0,,Ferralitique,2022,296000.0
Centrale,Tsévié,1.15,1.28,Traditionnelle,0.0,0,1094.0,Vertisol,2019,141300.0
Kara,Tohoun,1.3,1.53,Traditionnelle,120.0,0,509.0,Ferrugineux,2020,140100.0
Plateaux,Tohoun,1.45,3.4,Hybride,46.0,1,1427.0,Hydromorphe,2019,296900.0
Plateaux,Tsévié,0.81,3.37,Améliorée,38.0,0,1268.0,Ferralitique,2022,285500.0
Savanes,Tsévié,1.3,2.25,Hybride,0.0,0,657.0,Ferralitique,2023,232400.0
Maritime,Bassar,1.09,2.17,Améliorée,162.0,0,1243.0,Hydromorphe,2019,200700.0
Savanes,Akplogan,2.02,1.74,Traditionnelle,151.0,0,974.0,Hydromorphe,2019,157000.0
Kara,Mango,6.48,1.73,Traditionnelle,156.0,0,861.0,Ferralitique,2021,147700.0
Kara,Bassar,0.78,2.77,Traditionnelle,80.0,0,968.0,Hydromorphe,2023,237800.0
Kara,Dévé,3.68,2.42,Améliorée,184.0,0,1024.0,Vertisol,2020,239500.0
Kara,Tsévié,3.41,2.38,Traditionnelle,81.0,0,948.0,Ferralitique,2022,188300.0
Kara,Dévé,0.75,2.59,Améliorée,128.0,1,1018.0,Vertisol,2020,277500.0
Centrale,Dévé,6.9,3.06,Hybride,119.0,0,887.0,Ferrugineux,2023,271200.0
Plateaux,Bassar,2.6,2.67,Améliorée,113.0,0,964.0,Vertisol,2019,249000.0
Kara,Mango,1.63,2.8,Hybride,0.0,1,1090.0,Hydromorphe,2019,221200.0
Maritime,Tohoun,4.03,2.93,Améliorée,91.0,1,1617.0,Ferralitique,2023,277800.0
Maritime,Akplogan,1.24,2.4,Hybride,66.0,1,997.0,Vertisol,2019,218500.0
Maritime,Tohoun,3.46,2.02,Traditionnelle,120.0,1,1128.0,Hydromorphe,2019,190900.0
Maritime,Mango,0.6,2.55,Hybride,104.0,1,1283.0,Hydromorphe,2019,286800.0
Centrale,Tohoun,5.07,1.77,Traditionnelle,255.0,0,825.0,Vertisol,2022,172100.0
Maritime,Tsévié,1.99,1.77,Traditionnelle,147.0,1,1004.0,Ferralitique,2022,151400.0
Kara,Tsévié,3.03,2.37,Hybride,0.0,1,963.0,Vertisol,2021,204600.0
Savanes,Bassar,1.13,1.93,Améliorée,77.0,0,738.0,Ferrugineux,2020,196800.0
Maritime,Dévé,3.33,3.64,Améliorée,0.0,0,1239.0,Vertisol,2023,402500.0
Centrale,Mango,4.2,2.54,OPV,0.0,1,1093.0,Vertisol,2023,249800.0
Centrale,Mango,2.1,2.59,Améliorée,124.0,0,989.0,Ferralitique,2023,267100.0
Maritime,Tohoun,2.9,2.3,OPV,177.0,1,1252.0,Vertisol,2021,235000.0
Savanes,Bassar,2.02,2.18,Améliorée,164.0,0,1112.0,Hydromorphe,2022,244200.0
Maritime,Tohoun,6.11,2.84,Améliorée,0.0,0,1295.0,Ferralitique,2021,203200.0
Centrale,Tohoun,2.22,1.57,Traditionnelle,0.0,0,,Hydromorphe,2023,161300.0
Plateaux,Mango,5.11,2.98,OPV,130.0,0,1082.0,Ferralitique,2020,318300.0
Kara,Tohoun,4.54,2.78,Améliorée,,0,890.0,Ferrugineux,2019,219400.0
Centrale,Dévé,1.82,2.42,OPV,0.0,0,801.0,Ferrugineux,2022,204500.0
Maritime,Tohoun,1.15,2.2,Traditionnelle,112.0,0,1383.0,Ferrugineux,2022,186700.0
Kara,Dévé,1.8,2.1,Traditionnelle,116.0,0,1070.0,Vertisol,2021,180800.0
Maritime,Mango,4.87,2.69,OPV,31.0,0,1518.0,Ferrugineux,2022,239600.0
Maritime,Bassar,1.15,2.34,Traditionnelle,112.0,0,,Ferralitique,2023,228900.0
Plateaux,Tsévié,2.36,3.67,Hybride,0.0,1,1480.0,Ferrugineux,2023,387200.0
Kara,Dévé,4.6,2.96,Hybride,77.0,0,785.0,Ferralitique,2021,319900.0
Kara,Bassar,1.59,2.31,Traditionnelle,89.0,0,939.0,Hydromorphe,2023,196300.0
Plateaux,Bassar,3.07,3.77,Hybride,0.0,0,1170.0,Vertisol,2020,320100.0
Centrale,Dévé,1.2,2.0,Améliorée,60.0,0,861.0,Hydromorphe,2021,222100.0
Maritime,Mango,0.79,1.83,OPV,162.0,0,,Hydromorphe,2020,187800.0
Savanes,Akplogan,4.45,1.94,Améliorée,98.0,0,713.0,Ferrugineux,2019,186200.0
Maritime,Bassar,0.76,2.28,OPV,0.0,1,1151.0,Ferrugineux,2020,229900.0
Maritime,Bassar,1.29,1.85,Traditionnelle,0.0,1,995.0,Ferrugineux,2019,175300.0
Centrale,Mango,5.33,2.23,Améliorée,0.0,1,792.0,Hydromorphe,2019,226200.0
Maritime,Mango,1.56,1.82,Traditionnelle,218.0,0,1007.0,Vertisol,2020,165800.0
Plateaux,Tohoun,9.53,2.76,Traditionnelle,151.0,0,1526.0,Vertisol,2021,270800.0
Plateaux,Mango,10.25,2.54,OPV,0.0,0,1143.0,Hydromorphe,2023,195500.0
Kara,Bassar,1.28,2.49,OPV,165.0,0,890.0,Vertisol,2023,215800.0
Savanes,Dévé,0.6,1.65,OPV,107.0,1,974.0,Hydromorphe,2019,143300.0
Maritime,Akplogan,3.55,1.94,Améliorée,174.0,0,1173.0,Hydromorphe,2019,175300.0
Maritime,Tohoun,2.0,2.92,Hybride,,0,1096.0,Vertisol,2021,244700.0
Centrale,Dévé,0.77,2.71,OPV,2.0,0,1051.0,Ferralitique,2022,239800.0
Plateaux,Akplogan,3.57,2.65,OPV,79.0,1,1286.0,Ferralitique,2020,203800.0
Savanes,Akplogan,0.58,1.96,Améliorée,157.0,1,726.0,Ferrugineux,2019,199000.0
Kara,Akplogan,5.6,2.36,OPV,0.0,0,886.0,Vertisol,2023,221700.0
Plateaux,Tsévié,0.87,2.93,Améliorée,0.0,1,1167.0,Ferrugineux,2021,218700.0
Kara,Dévé,0.84,1.88,Traditionnelle,0.0,0,719.0,Hydromorphe,2020,160000.0
Centrale,Tohoun,0.98,2.02,OPV,43.0,1,965.0,Ferralitique,2021,199700.0
Centrale,Tohoun,8.56,2.4,OPV,0.0,1,803.0,Vertisol,2020,212400.0
Maritime,Akplogan,3.45,2.06,Traditionnelle,0.0,1,1004.0,Vertisol,2020,178200.0
Savanes,Dévé,4.54,1.07,Traditionnelle,152.0,0,707.0,Vertisol,2019,100400.0
Kara,Tsévié,1.77,2.16,Traditionnelle,0.0,0,,Ferralitique,2021,214500.0
Plateaux,Akplogan,1.52,2.92,OPV,0.0,0,841.0,Ferrugineux,2021,227200.0
Centrale,Mango,1.17,3.22,Hybride,0.0,0,939.0,Ferralitique,2023,327400.0
Maritime,Tohoun,2.14,3.71,Hybride,198.0,1,1058.0,Ferrugineux,2023,317200.0
Maritime,Bassar,2.51,2.4,Hybride,,0,1591.0,Hydromorphe,2019,227100.0
Kara,Akplogan,3.0,2.04,OPV,112.0,0,1053.0,Hydromorphe,2019,192600.0
Centrale,Mango,1.24,1.46,Traditionnelle,161.0,0,679.0,Ferrugineux,2022,129700.0
Savanes,Tohoun,7.92,1.95,OPV,178.0,0,1161.0,Hydromorphe,2023,160900.0
Centrale,Tsévié,0.97,1.82,Traditionnelle,100.0,0,903.0,Hydromorphe,2020,166700.0
Kara,Dévé,8.93,2.8,OPV,91.0,0,793.0,Vertisol,2021,321100.0
Kara,Tohoun,0.54,2.26,OPV,0.0,0,846.0,Vertisol,2019,177600.0
Centrale,Dévé,2.14,1.66,Traditionnelle,0.0,0,1046.0,Ferralitique,2021,191900.0
Kara,Dévé,1.51,3.18,Hybride,0.0,1,795.0,Ferralitique,2021,292200.0
Centrale,Tsévié,1.99,1.59,Traditionnelle,0.0,0,,Ferralitique,2022,151700.0
Plateaux,Tsévié,2.61,4.03,Améliorée,0.0,1,995.0,Vertisol,2023,330200.0
Centrale,Akplogan,1.93,1.68,Améliorée,0.0,0,688.0,Ferralitique,2019,143900.0
Centrale,Akplogan,1.84,1.82,Traditionnelle,109.0,0,1228.0,Ferralitique,2021,161500.0
Kara,Tohoun,3.8,2.89,OPV,83.0,0,798.0,Vertisol,2019,238000.0
Kara,Tsévié,3.39,2.7,Améliorée,0.0,0,1050.0,Ferrugineux,2020,249300.0
Maritime,Mango,4.98,2.74,Améliorée,129.0,0,1633.0,Vertisol,2022,246700.0
Maritime,Tohoun,1.22,2.16,OPV,0.0,0,1438.0,Ferrugineux,2020,253300.0
Plateaux,Bassar,2.85,2.47,OPV,,0,1243.0,Vertisol,2019,199800.0
Maritime,Dévé,2.7,3.11,Hybride,150.0,0,1405.0,Ferralitique,2019,299500.0
Centrale,Dévé,1.65,1.64,OPV,0.0,0,866.0,Hydromorphe,2023,160700.0
Kara,Akplogan,2.16,2.55,Traditionnelle,0.0,0,1115.0,Hydromorphe,2021,209500.0
Maritime,Mango,1.44,1.55,Traditionnelle,86.0,0,1037.0,Ferrugineux,2021,160300.0
Maritime,Tsévié,0.88,2.76,Hybride,100.0,1,1216.0,Ferrugineux,2020,248600.0
Plateaux,Tsévié,1.1,3.13,Améliorée,39.0,0,1372.0,Ferrugineux,2022,203800.0
Plateaux,Akplogan,0.78,3.3,Améliorée,0.0,0,1228.0,Hydromorphe,2021,339100.0
Centrale,Bassar,3.37,1.82,OPV,192.0,1,790.0,Ferrugineux,2023,148900.0
Kara,Tohoun,3.2,2.13,Traditionnelle,185.0,0,935.0,Vertisol,2020,175900.0
Plateaux,Tohoun,8.02,3.58,Améliorée,122.0,1,1185.0,Vertisol,2020,370100.0
Maritime,Mango,3.77,2.83,Hybride,186.0,0,1185.0,Hydromorphe,2023,257200.0
Kara,Akplogan,0.63,3.33,Hybride,113.0,1,899.0,Vertisol,2022,353500.0
Kara,Akplogan,5.89,2.08,Traditionnelle,0.0,0,928.0,Ferrugineux,2023,228000.0
Maritime,Bassar,5.46,3.23,Hybride,122.0,1,1301.0,Hydromorphe,2022,282100.0
Plateaux,Tohoun,1.96,3.79,Hybride,115.0,0,1498.0,Ferrugineux,2023,395700.0
Maritime,Akplogan,2.7,1.97,Traditionnelle,111.0,0,1654.0,Vertisol,2023,169100.0
Kara,Tsévié,9.83,2.43,OPV,165.0,0,1136.0,Ferrugineux,2019,295500.0
Savanes,Mango,2.4,2.31,OPV,126.0,0,861.0,Hydromorphe,2020,199800.0
Savanes,Tohoun,6.39,2.46,Hybride,148.0,0,1069.0,Ferrugineux,2023,264300.0
Centrale,Bassar,0.72,2.52,OPV,161.0,0,1194.0,Vertisol,2023,264900.0
Maritime,Mango,1.03,1.99,OPV,135.0,1,1180.0,Ferralitique,2021,196400.0
Maritime,Dévé,1.95,2.55,Hybride,81.0,0,,Hydromorphe,2020,221600.0
Centrale,Tsévié,2.7,2.25,OPV,0.0,1,854.0,Ferrugineux,2021,210000.0
Centrale,Bassar,4.74,2.97,Hybride,0.0,0,,Hydromorphe,2020,205100.0
Centrale,Mango,11.61,2.48,Améliorée,113.0,1,988.0,Ferrugineux,2021,242500.0
Kara,Akplogan,1.73,2.19,Traditionnelle,123.0,1,1024.0,Ferralitique,2023,216800.0
Maritime,Dévé,0.62,2.16,Traditionnelle,119.0,0,1609.0,Vertisol,2023,208600.0
Kara,Bassar,4.54,1.9,OPV,223.0,1,912.0,Ferrugineux,2019,113000.0
Centrale,Akplogan,2.82,2.29,OPV,0.0,1,536.0,Ferrugineux,2021,183000.0
Maritime,Tsévié,1.05,2.75,OPV,0.0,0,1598.0,Ferralitique,2022,236500.0
Kara,Dévé,2.21,1.76,Traditionnelle,133.0,0,808.0,Hydromorphe,2019,173800.0
Kara,Tohoun,3.89,2.68,Améliorée,,0,910.0,Vertisol,2021,264000.0
Centrale,Akplogan,4.18,2.46,Améliorée,0.0,1,844.0,Ferrugineux,2021,228300.0
Maritime,Mango,2.23,1.67,Traditionnelle,0.0,0,1368.0,Ferrugineux,2019,171300.0
Centrale,Bassar,1.41,2.57,Améliorée,0.0,0,500.0,Vertisol,2023,212700.0
Maritime,Dévé,9.6,2.61,Traditionnelle,59.0,0,941.0,Ferralitique,2021,267100.0
Savanes,Akplogan,3.22,2.19,Améliorée,0.0,0,881.0,Hydromorphe,2023,220900.0
Plateaux,Tohoun,1.81,3.04,Hybride,137.0,1,1079.0,Vertisol,2019,302800.0
Plateaux,Bassar,1.32,3.59,Hybride,,1,1185.0,Hydromorphe,2023,332800.0
Plateaux,Bassar,3.78,2.43,Traditionnelle,207.0,0,1285.0,Ferralitique,2020,284000.0
Centrale,Akplogan,1.19,2.43,Améliorée,0.0,0,1039.0,Ferralitique,2022,245200.0
Savanes,Tohoun,0.97,1.65,OPV,117.0,0,964.0,Vertisol,2021,137800.0
Maritime,Tsévié,2.39,3.19,Améliorée,84.0,0,1413.0,Ferrugineux,2022,312600.0
Kara,Tsévié,1.36,3.85,Hybride,0.0,0,780.0,Ferralitique,2023,400100.0
Maritime,Dévé,2.98,2.79,Hybride,96.0,0,1477.0,Ferralitique,2021,245300.0
Kara,Akplogan,0.81,2.52,Améliorée,146.0,0,1097.0,Vertisol,2023,272100.0
Maritime,Dévé,3.16,2.85,Améliorée,130.0,0,1420.0,Vertisol,2020,284200.0
Savanes,Tsévié,1.33,1.47,OPV,0.0,0,622.0,Vertisol,2019,98600.0
Kara,Bassar,0.5,2.75,OPV,102.0,0,803.0,Ferralitique,2021,270700.0
Centrale,Dévé,0.84,1.68,Améliorée,155.0,1,970.0,Hydromorphe,2020,151100.0
Maritime,Tohoun,7.28,2.82,Améliorée,,0,1180.0,Ferralitique,2020,286000.0
Maritime,Mango,5.55,2.31,Améliorée,0.0,0,,Vertisol,2021,245600.0
Kara,Tsévié,1.17,3.3,Améliorée,135.0,1,500.0,Ferrugineux,2023,321000.0
Centrale,Tsévié,4.27,1.68,Traditionnelle,185.0,0,994.0,Ferrugineux,2020,193700.0
Centrale,Tohoun,2.84,2.2,Améliorée,129.0,0,680.0,Vertisol,2022,204100.0
Savanes,Dévé,9.34,1.64,OPV,104.0,0,537.0,Ferrugineux,2020,168300.0
Centrale,Akplogan,1.67,3.09,Hybride,83.0,0,500.0,Ferralitique,2023,323000.0
Centrale,Bassar,3.36,1.95,Traditionnelle,0.0,1,,Hydromorphe,2023,183100.0
