id_transaction,date,ville,type_transaction,montant_xof,operateur,genre_client,age_client,zone,statut_compte
TX0003733,2022-10-02,Kaolack,Retrait,24600.0,Wave,M,37.0,Periurbain,Actif
TX0001777,2022-08-28,Dakar,Dépôt,6100.0,Free Money,M,18.0,Urbain,Actif
TX0003005,2023-04-01,Diourbel,Transfert,175900.0,Wizall,,30.0,Urbain,Actif
TX0003653,2022-04-04,Tambacounda,Dépôt,27100.0,Wizall,F,18.0,Urbain,Actif
TX0004558,2023-05-25,Dakar,Recharge,1210500.0,Free Money,F,37.0,Urbain,Actif
TX0000497,2022-02-12,Tambacounda,Dépôt,109100.0,Orange Money,M,44.0,Rural,Actif
TX0004994,2022-02-07,Saint-Louis,Paiement,18300.0,Orange Money,F,37.0,Rural,Actif
TX0000996,2023-05-17,Dakar,Retrait,194700.0,Orange Money,,26.0,Rural,Actif
TX0003742,2023-02-19,Thiès,Dépôt,197400.0,Orange Money,M,35.0,Urbain,Actif
TX0000240,2023-05-30,Ziguinchor,Transfert,21700.0,Orange Money,M,29.0,Rural,Actif
TX0004547,2022-12-22,Diourbel,Paiement,25100.0,Wave,F,45.0,Periurbain,Actif
TX0002181,2022-04-27,Dakar,Retrait,77100.0,Wave,F,46.0,Periurbain,Suspendu
TX0000333,2022-03-05,Dakar,Recharge,53000.0,Wave,M,18.0,Rural,Inactif
TX0002895,2023-04-25,Ziguinchor,Dépôt,7200.0,Orange Money,F,27.0,Periurbain,Actif
TX0002942,2022-06-12,Ziguinchor,Transfert,74300.0,Wizall,M,55.0,Urbain,Actif
TX0001272,2023-03-03,Kaolack,Dépôt,92300.0,Orange Money,M,18.0,Periurbain,Actif
TX0003862,2022-07-24,Thiès,Dépôt,49400.0,Orange Money,M,51.0,Periurbain,Actif
TX0001919,2022-08-14,Ziguinchor,Paiement,261400.0,Orange Money,M,40.0,Urbain,Actif
TX0000555,2022-08-09,Saint-Louis,Dépôt,218000.0,Orange Money,M,57.0,Urbain,Actif
TX0001965,2022-11-18,Diourbel,Dépôt,1800.0,Free Money,M,56.0,Periurbain,Suspendu
TX0000624,2022-12-05,Dakar,Recharge,166500.0,Orange Money,M,23.0,Periurbain,Actif
TX0003127,2022-02-14,Saint-Louis,Retrait,4900.0,Wizall,M,51.0,Rural,Suspendu
TX0000491,2022-12-06,Thiès,Retrait,30500.0,Wave,F,63.0,Rural,Actif
TX0000023,2022-07-20,Ziguinchor,Transfert,92600.0,Orange Money,M,47.0,Periurbain,Actif
TX0004792,2022-02-02,Saint-Louis,Dépôt,9100.0,Wave,F,18.0,Rural,Actif
TX0000501,2022-10-21,Kaolack,Dépôt,135400.0,Orange Money,F,60.0,Urbain,Actif
TX0001405,2022-09-17,Kaolack,Dépôt,4300.0,Wave,F,49.0,Urbain,Actif
TX0001921,2022-01-02,Diourbel,Retrait,7000.0,Orange Money,F,53.0,Urbain,Suspendu
TX0000239,2022-04-07,Ziguinchor,Dépôt,32500.0,Orange Money,F,55.0,Urbain,Actif
TX0004641,2022-06-21,Ziguinchor,Paiement,127500.0,Wave,F,36.0,Urbain,Inactif
TX0004011,2022-08-03,Dakar,Recharge,11300.0,Wizall,M,39.0,Rural,Actif
TX0002098,2023-03-13,Kaolack,Retrait,188100.0,Free Money,F,31.0,Periurbain,Actif
TX0002226,2022-06-14,Ziguinchor,Retrait,49300.0,Wave,F,51.0,Urbain,Actif
TX0001870,2023-03-24,Thiès,Dépôt,77900.0,Wizall,M,,Urbain,Inactif
TX0001338,2022-02-09,Dakar,Dépôt,27700.0,Wave,F,21.0,Urbain,Actif
TX0003323,2022-11-16,Diourbel,Paiement,27200.0,Orange Money,M,43.0,Rural,Actif
TX0002394,2023-05-02,Dakar,Recharge,137200.0,Orange Money,M,32.0,Periurbain,Actif
TX0002414,2022-10-04,Dakar,Retrait,786200.0,Orange Money,,18.0,Rural,Actif
TX0004538,2022-02-14,Kaolack,Dépôt,40700.0,Wave,M,34.0,Urbain,Actif
TX0000429,2022-03-06,Tambacounda,Paiement,31100.0,Wizall,M,51.0,Urbain,Inactif
TX0004254,2022-03-30,Tambacounda,Retrait,129600.0,Orange Money,,37.0,Periurbain,Inactif
TX0003704,2023-06-03,Saint-Louis,Retrait,6300.0,Orange Money,M,29.0,Rural,Inactif
TX0004096,2022-01-08,Dakar,Paiement,54100.0,Wave,M,45.0,Urbain,Actif
TX0000422,2022-02-19,Tambacounda,Transfert,29300.0,Orange Money,F,27.0,Urbain,Actif
TX0003727,2022-02-20,Dakar,Transfert,57000.0,Wizall,F,63.0,Periurbain,Actif
TX0000803,2022-11-28,Kaolack,Transfert,42500.0,Wizall,M,37.0,Rural,Actif
TX0004168,2022-06-22,Thiès,Transfert,18800.0,Wave,F,61.0,Periurbain,Actif
TX0001751,2022-04-28,Saint-Louis,Transfert,17000.0,Orange Money,F,52.0,Periurbain,Actif
TX0001813,2022-01-12,Kaolack,Retrait,17100.0,Orange Money,F,20.0,Periurbain,Actif
TX0002077,2022-09-04,Diourbel,Transfert,190400.0,Free Money,M,47.0,Urbain,Actif
TX0001554,2022-05-05,Saint-Louis,Paiement,51300.0,Wave,M,36.0,Urbain,Actif
TX0004237,2023-02-24,Thiès,Paiement,44200.0,Wave,M,33.0,Rural,Actif
TX0001417,2022-03-08,Kaolack,Transfert,43100.0,Free Money,,35.0,Periurbain,Actif
TX0002916,2023-02-10,Diourbel,Paiement,28500.0,Wave,,27.0,Urbain,Actif
TX0003630,2023-02-15,Thiès,Dépôt,27800.0,Free Money,M,19.0,Periurbain,Actif
TX0004001,2023-03-17,Kaolack,Transfert,102100.0,Orange Money,F,30.0,Urbain,Actif
TX0002951,2023-01-17,Kaolack,Dépôt,102700.0,Orange Money,,40.0,Periurbain,Actif
TX0002053,2023-06-02,Thiès,Recharge,73600.0,Wave,M,41.0,Periurbain,Actif
TX0001879,2022-11-06,Thiès,Retrait,82600.0,Orange Money,M,44.0,Rural,Actif
TX0003802,2023-03-24,Dakar,Retrait,95100.0,Orange Money,F,40.0,Periurbain,Actif
TX0000733,2022-10-14,Tambacounda,Dépôt,18900.0,Orange Money,F,28.0,Periurbain,Actif
TX0000927,2022-10-24,Tambacounda,Dépôt,32000.0,Orange Money,M,35.0,Periurbain,Actif
TX0003132,2023-05-26,Kaolack,Dépôt,144100.0,Wave,,59.0,Urbain,Inactif
TX0000065,2022-10-24,Diourbel,Paiement,28100.0,Free Money,F,41.0,Periurbain,Actif
TX0003097,2022-02-25,Ziguinchor,Dépôt,23400.0,Orange Money,F,55.0,Urbain,Actif
TX0002847,2022-05-18,Diourbel,Retrait,136600.0,Wizall,F,29.0,Urbain,Inactif
TX0002317,2022-08-04,Saint-Louis,Dépôt,40200.0,Free Money,,44.0,Urbain,Actif
TX0001322,2023-04-22,Tambacounda,Retrait,250000.0,Free Money,M,32.0,Urbain,Suspendu
TX0001532,2023-01-27,Ziguinchor,Recharge,48800.0,Orange Money,M,24.0,Rural,Actif
TX0000952,2022-04-06,Dakar,Dépôt,16700.0,Orange Money,F,37.0,Periurbain,Actif
TX0004353,2023-06-08,KAOLACK,Transfert,205500.0,Wave,F,57.0,Urbain,Actif
TX0004043,2022-12-05,Tambacounda,Dépôt,21800.0,Orange Money,M,23.0,Urbain,Actif
TX0003666,2023-04-05,Tambacounda,Dépôt,38200.0,Orange Money,,35.0,Rural,Actif
TX0001168,2022-01-04,Saint-Louis,Retrait,33600.0,Wizall,F,,Periurbain,Actif
TX0000416,2022-06-10,Tambacounda,Dépôt,121800.0,Orange Money,M,19.0,Periurbain,Actif
TX0001732,2022-10-16,Kaolack,Dépôt,12300.0,Free Money,M,34.0,Urbain,Suspendu
TX0003181,2022-06-08,ZIGUINCHOR,Retrait,56800.0,Orange Money,F,56.0,Urbain,Actif
TX0002182,2022-01-19,Saint-Louis,Retrait,375600.0,Wave,M,49.0,Urbain,Suspendu
TX0001632,2022-12-30,Diourbel,Dépôt,18500.0,Orange Money,M,59.0,Urbain,Inactif
TX0003427,2022-12-08,Kaolack,Paiement,32600.0,Orange Money,M,36.0,Periurbain,Inactif
TX0000084,2022-06-20,Thiès,Paiement,23400.0,Orange Money,F,53.0,Urbain,Actif
TX0002059,2022-10-26,Ziguinchor,Transfert,28100.0,Orange Money,F,20.0,Urbain,Actif
TX0004533,2022-06-17,Kaolack,Paiement,30000.0,Wizall,M,32.0,Rural,Suspendu
TX0001432,2022-09-25,Thiès,Retrait,100500.0,Orange Money,M,19.0,Rural,Actif
TX0004870,2022-07-29,Ziguinchor,Dépôt,66300.0,Wizall,M,64.0,Rural,Actif
TX0004654,2022-07-29,Tambacounda,Retrait,35500.0,Wave,M,40.0,Urbain,Actif
TX0001183,2023-05-25,Tambacounda,Retrait,26400.0,Free Money,M,36.0,Periurbain,Actif
TX0002575,2022-12-17,Tambacounda,Paiement,71200.0,Free Money,F,55.0,Urbain,Actif
TX0003400,2022-02-06,Ziguinchor,Transfert,166400.0,Orange Money,M,34.0,Periurbain,Actif
TX0004361,2022-11-27,Dakar,Recharge,70700.0,Orange Money,M,27.0,Periurbain,Actif
TX0002822,2022-12-13,Saint-Louis,Paiement,4700.0,Free Money,M,25.0,Periurbain,Inactif
TX0000393,2023-03-01,Thiès,Retrait,27600.0,Orange Money,M,25.0,Periurbain,Actif
TX0000106,2022-08-13,Dakar,Dépôt,52800.0,Orange Money,F,58.0,Rural,Inactif
TX0002705,2023-03-18,Tambacounda,Retrait,19500.0,Wave,M,44.0,Urbain,Actif
TX0003161,2022-01-12,Saint-Louis,Dépôt,41900.0,Wave,F,33.0,Periurbain,Actif
TX0002067,2022-05-22,Dakar,Recharge,21900.0,Free Money,F,35.0,Urbain,Actif
TX0003286,2022-08-01,Kaolack,Dépôt,72600.0,Orange Money,M,49.0,Urbain,Actif
TX0002103,2023-01-16,Diourbel,Dépôt,36300.0,Wave,F,23.0,Periurbain,Suspendu
TX0001840,2022-07-23,Dakar,Dépôt,103700.0,Free Money,M,58.0,Urbain,Actif
TX0003897,2023-04-01,SAINT-LOUIS,Recharge,38800.0,Free Money,F,55.0,Urbain,Actif
TX0002527,2023-06-08,Dakar,Dépôt,27000.0,Orange Money,F,34.0,Periurbain,Inactif
TX0003443,2023-06-29,Thiès,Paiement,87300.0,Free Money,M,56.0,Periurbain,Actif
TX0001344,2023-02-11,Thiès,Dépôt,13900.0,Orange Money,M,25.0,Urbain,Inactif
TX0003967,2022-01-23,Thiès,Dépôt,153200.0,Orange Money,M,24.0,Periurbain,Actif
TX0001419,2023-05-26,Thiès,Retrait,68700.0,Free Money,F,40.0,Urbain,Actif
TX0001483,2022-01-04,Thiès,Dépôt,131500.0,Orange Money,M,47.0,Rural,Actif
TX0000468,2022-05-03,Tambacounda,Dépôt,26800.0,Orange Money,F,28.0,Periurbain,Suspendu
TX0000008,2022-11-25,Kaolack,Transfert,111100.0,Free Money,F,18.0,Periurbain,Actif
TX0001666,2022-04-25,Saint-Louis,Paiement,176000.0,Wave,,,Rural,Actif
TX0000889,2022-05-14,Diourbel,Retrait,14400.0,Orange Money,M,59.0,Urbain,Actif
TX0004239,2022-07-01,Diourbel,Dépôt,85500.0,Free Money,M,23.0,Urbain,Actif
TX0002380,2023-03-26,Diourbel,Transfert,37600.0,Free Money,F,28.0,Periurbain,Actif
TX0000157,2023-02-21,Dakar,Retrait,65300.0,Orange Money,M,42.0,Periurbain,Actif
TX0003285,2022-02-11,Dakar,Recharge,56300.0,Orange Money,F,41.0,Urbain,Actif
TX0002319,2022-08-13,Dakar,Recharge,151400.0,Free Money,M,60.0,Periurbain,Suspendu
TX0001491,2022-07-24,Ziguinchor,Retrait,39600.0,Orange Money,M,47.0,Urbain,Actif
TX0003488,2022-01-18,Saint-Louis,Recharge,62800.0,Orange Money,M,52.0,Periurbain,Actif
TX0002164,2022-09-15,Saint-Louis,Paiement,989900.0,Orange Money,M,56.0,Urbain,Actif
TX0000681,2022-05-22,Tambacounda,Paiement,151200.0,Orange Money,F,61.0,Rural,Actif
TX0004793,2022-06-12,Dakar,Retrait,27900.0,Free Money,F,34.0,Urbain,Actif
TX0002115,2022-03-25,Diourbel,Paiement,205000.0,Free Money,F,,Periurbain,Actif
TX0004139,2022-11-01,Diourbel,Retrait,234600.0,Free Money,M,36.0,Rural,Inactif
TX0004627,2022-10-01,DAKAR,Dépôt,7600.0,Wizall,F,19.0,Urbain,Actif
TX0002715,2022-06-13,Diourbel,Paiement,378300.0,Wave,M,43.0,Urbain,Actif
TX0002598,2022-06-05,Saint-Louis,Dépôt,83800.0,Orange Money,F,53.0,Periurbain,Actif
TX0004259,2022-08-08,Ziguinchor,Dépôt,264100.0,Wizall,F,19.0,Rural,Actif
TX0001501,2022-09-20,Tambacounda,Retrait,31300.0,Wave,M,,Periurbain,Actif
TX0002642,2023-03-04,Tambacounda,Transfert,405600.0,Wave,F,38.0,Urbain,Actif
TX0002789,2023-06-29,Tambacounda,Transfert,20700.0,Wizall,F,35.0,Periurbain,Actif
TX0000029,2022-01-26,Tambacounda,Transfert,16000.0,Orange Money,F,47.0,Urbain,Actif
TX0002138,2022-04-13,Diourbel,Paiement,384000.0,Free Money,M,,Periurbain,Actif
TX0003877,2023-04-26,Kaolack,Recharge,79300.0,Free Money,M,24.0,Urbain,Actif
TX0002788,2023-06-05,Tambacounda,Transfert,450400.0,Wave,M,43.0,Periurbain,Actif
TX0003830,2022-07-28,Thiès,Transfert,42300.0,Wave,M,25.0,Periurbain,Actif
TX0001972,2022-05-30,Saint-Louis,Dépôt,45200.0,Wave,F,22.0,Urbain,Actif
TX0004133,2022-12-13,Diourbel,Retrait,72000.0,Free Money,F,,Urbain,Actif
TX0001424,2023-06-24,Saint-Louis,Dépôt,307400.0,Wizall,M,23.0,Rural,Actif
TX0003289,2022-04-22,Diourbel,Retrait,453600.0,Orange Money,F,,Periurbain,Inactif
TX0001893,2022-04-22,Tambacounda,Transfert,36200.0,Wave,M,,Periurbain,Inactif
TX0003773,2023-02-05,Ziguinchor,Transfert,133400.0,Orange Money,F,44.0,Urbain,Actif
TX0003134,2022-04-20,Ziguinchor,Paiement,156500.0,Free Money,F,37.0,Periurbain,Actif
TX0000228,2023-05-03,Tambacounda,Retrait,9400.0,Orange Money,M,20.0,Urbain,Actif
TX0000248,2023-06-12,Ziguinchor,Dépôt,96300.0,Wave,M,30.0,Urbain,Actif
TX0002329,2022-01-28,Saint-Louis,Paiement,145800.0,Free Money,,27.0,Urbain,Actif
TX0000151,2022-05-12,Thiès,Paiement,78100.0,Orange Money,M,,Periurbain,Actif
TX0004597,2022-05-08,Thiès,Retrait,130000.0,Orange Money,M,51.0,Urbain,Actif
TX0001899,2023-03-05,Tambacounda,Dépôt,14200.0,Free Money,M,64.0,Urbain,Actif
TX0000655,2022-03-11,Thiès,Paiement,282000.0,Orange Money,M,62.0,Urbain,Actif
TX0000856,2022-01-20,ZIGUINCHOR,Dépôt,5100.0,Orange Money,F,44.0,Periurbain,Inactif
TX0000227,2022-08-04,Kaolack,Transfert,25500.0,Wave,F,33.0,Rural,Actif
TX0004599,2022-05-28,Saint-Louis,Paiement,11700.0,Orange Money,M,54.0,Periurbain,Suspendu
TX0001438,2022-04-21,Kaolack,Transfert,29600.0,Orange Money,F,53.0,Rural,Suspendu
TX0003386,2022-05-14,Diourbel,Retrait,11500.0,Orange Money,F,53.0,Urbain,Actif
TX0000179,2022-03-17,Saint-Louis,Paiement,50800.0,Free Money,M,40.0,Urbain,Actif
TX0004264,2022-12-27,Thiès,Dépôt,124800.0,Free Money,M,63.0,Urbain,Actif
TX0002267,2023-01-20,Kaolack,Retrait,27100.0,Free Money,F,55.0,Periurbain,Actif
TX0004220,2022-06-18,Saint-Louis,Transfert,154600.0,Wave,M,37.0,Periurbain,Inactif
TX0001199,2022-03-13,Saint-Louis,Paiement,114000.0,Orange Money,M,30.0,Rural,Actif
TX0000561,2022-04-27,Thiès,Dépôt,98300.0,Wave,F,27.0,Urbain,Inactif
TX0004808,2022-05-16,Thiès,Retrait,172300.0,Free Money,M,43.0,Periurbain,Actif
TX0000472,2022-01-24,Thiès,Recharge,76200.0,Wave,,27.0,Urbain,Actif
TX0000168,2022-01-23,Saint-Louis,Dépôt,236900.0,Orange Money,F,,Periurbain,Actif
TX0001295,2022-04-20,Dakar,Transfert,253500.0,Wave,F,32.0,Periurbain,Actif
TX0004451,2022-11-13,Ziguinchor,Retrait,39500.0,Wave,M,29.0,Urbain,Actif
TX0000776,2022-05-06,Dakar,Retrait,142500.0,Free Money,M,56.0,Periurbain,Actif
TX0002591,2023-03-16,Saint-Louis,Retrait,270100.0,Wave,F,59.0,Rural,Actif
TX0000553,2022-11-03,Diourbel,Transfert,448100.0,Wizall,M,26.0,Urbain,Actif
TX0001010,2022-05-02,Dakar,Retrait,154500.0,Free Money,M,50.0,Rural,Actif
TX0004951,2022-01-29,Kaolack,Paiement,16500.0,Wave,M,22.0,Rural,Actif
TX0001702,2022-06-20,Ziguinchor,Retrait,149100.0,Wizall,,64.0,Urbain,Actif
TX0003827,2022-09-21,Saint-Louis,Transfert,242800.0,Orange Money,M,47.0,Urbain,Actif
TX0000486,2022-01-25,Dakar,Retrait,67700.0,Orange Money,F,24.0,Urbain,Actif
TX0002667,2022-12-23,Ziguinchor,Transfert,76400.0,Orange Money,M,36.0,Rural,Actif
TX0000296,2023-02-26,Thiès,Dépôt,342500.0,Orange Money,M,31.0,Periurbain,Inactif
TX0001209,2023-06-30,Ziguinchor,Recharge,21500.0,Orange Money,M,42.0,Periurbain,Actif
TX0004730,2022-03-07,Thiès,Retrait,55200.0,Wave,F,45.0,Rural,Actif
TX0004396,2022-06-12,Kaolack,Paiement,71600.0,Orange Money,M,51.0,Urbain,Actif
TX0002351,2023-05-15,Thiès,Retrait,101100.0,Orange Money,M,,Urbain,Actif
TX0000071,2022-04-19,Tambacounda,Dépôt,76000.0,Free Money,F,52.0,Periurbain,Actif
TX0001129,2022-05-23,Kaolack,Transfert,46000.0,Wizall,F,23.0,Urbain,Actif
TX0000199,2023-03-03,Ziguinchor,Dépôt,427600.0,Orange Money,M,,Urbain,Actif
TX0001815,2023-06-14,Kaolack,Transfert,40200.0,Wave,F,59.0,Periurbain,Actif
TX0000279,2023-03-12,DIOURBEL,Transfert,165000.0,Wave,F,25.0,Periurbain,Suspendu
TX0001034,2022-02-12,Ziguinchor,Recharge,313100.0,Orange Money,F,52.0,Rural,Actif
TX0000893,2022-08-06,Tambacounda,Paiement,66900.0,Orange Money,F,42.0,Urbain,Actif
TX0001448,2023-06-01,THIÈS,Dépôt,25900.0,Orange Money,M,54.0,Urbain,Actif
TX0000705,2023-06-26,THIÈS,Dépôt,57400.0,Wave,M,57.0,Rural,Actif
TX0001436,2022-06-18,Diourbel,Retrait,124300.0,Orange Money,M,64.0,Rural,Actif
TX0002592,2022-10-30,TAMBACOUNDA,Paiement,26300.0,Wave,M,33.0,Periurbain,Actif
TX0004437,2023-03-04,Tambacounda,Transfert,79000.0,Orange Money,M,62.0,Urbain,Actif
TX0001869,2023-02-02,Diourbel,Transfert,337800.0,Orange Money,,58.0,Periurbain,Actif
TX0003319,2023-02-27,Tambacounda,Dépôt,60700.0,Wave,,57.0,Urbain,Actif
TX0001391,2022-02-10,Thiès,Recharge,250700.0,Orange Money,M,41.0,Rural,Actif
TX0003102,2023-05-16,Thiès,Dépôt,156000.0,Free Money,M,58.0,Urbain,Actif
TX0001323,2022-04-30,Diourbel,Dépôt,22400.0,Orange Money,M,51.0,Periurbain,Actif
TX0002330,2022-05-21,Thiès,Retrait,53600.0,Wave,,60.0,Rural,Actif
TX0001117,2023-04-25,Ziguinchor,Retrait,36000.0,Free Money,M,59.0,Periurbain,Actif
TX0001197,2023-06-14,Tambacounda,Dépôt,27200.0,Orange Money,M,23.0,Periurbain,Actif
TX0003942,2022-02-16,Saint-Louis,Retrait,71000.0,Wave,M,41.0,Urbain,Actif
TX0002603,2022-06-23,Kaolack,Dépôt,38400.0,Orange Money,M,28.0,Urbain,Actif
TX0001616,2023-06-28,DIOURBEL,Dépôt,57800.0,Orange Money,M,28.0,Urbain,Actif
TX0000373,2023-01-09,Ziguinchor,Retrait,200200.0,Orange Money,M,37.0,Rural,Actif
TX0004347,2022-10-31,Ziguinchor,Transfert,6100.0,Orange Money,,51.0,Periurbain,Actif
TX0000315,2023-01-16,Dakar,Dépôt,330800.0,Orange Money,M,,Urbain,Actif
TX0002826,2023-02-03,Saint-Louis,Dépôt,434000.0,Wave,M,31.0,Urbain,Actif
TX0004769,2022-07-09,Dakar,Retrait,34800.0,Orange Money,M,59.0,Urbain,Actif
TX0000080,2023-04-18,Diourbel,Retrait,6500.0,Orange Money,M,62.0,Urbain,Actif
TX0004506,2023-02-06,Saint-Louis,Paiement,23300.0,Wave,M,26.0,Rural,Actif
TX0004222,2023-05-07,Tambacounda,Dépôt,7200.0,Wave,F,53.0,Rural,Actif
TX0004620,2023-04-14,Saint-Louis,Retrait,182300.0,Orange Money,F,37.0,Rural,Actif
TX0004500,2022-11-24,Dakar,Transfert,45100.0,Free Money,M,47.0,Rural,Actif
TX0001471,2023-02-08,Kaolack,Retrait,171300.0,Wave,M,31.0,Periurbain,Actif
TX0001268,2022-11-25,Tambacounda,Transfert,68100.0,Orange Money,M,30.0,Periurbain,Actif
TX0002377,2023-03-08,Thiès,Retrait,52700.0,Orange Money,M,44.0,Rural,Actif
TX0002627,2023-01-11,Dakar,Retrait,281100.0,Orange Money,F,57.0,Periurbain,Actif
TX0001873,2023-04-05,Dakar,Dépôt,136100.0,Orange Money,M,23.0,Periurbain,Actif
TX0002924,2022-07-22,Diourbel,Transfert,222700.0,Free Money,F,55.0,Periurbain,Actif
TX0003166,2023-05-23,Thiès,Dépôt,3500.0,Orange Money,F,58.0,Periurbain,Actif
TX0002100,2023-05-16,Tambacounda,Recharge,841100.0,Orange Money,F,57.0,Urbain,Actif
TX0003063,2022-12-08,Saint-Louis,Dépôt,152100.0,Orange Money,F,35.0,Periurbain,Actif
TX0003402,2023-07-01,Kaolack,Dépôt,34800.0,Orange Money,F,34.0,Periurbain,Actif
TX0001736,2022-09-04,Thiès,Dépôt,92200.0,Wave,M,31.0,Urbain,Actif
TX0003370,2022-04-30,Diourbel,Transfert,78300.0,Wizall,M,61.0,Periurbain,Actif
TX0000505,2022-03-30,Saint-Louis,Paiement,67500.0,Orange Money,F,54.0,Urbain,Actif
TX0003927,2022-12-27,Dakar,Retrait,142900.0,Orange Money,M,26.0,Rural,Actif
TX0002940,2022-05-26,Dakar,Retrait,25000.0,Orange Money,M,39.0,Rural,Actif
TX0004787,2023-05-11,Saint-Louis,Retrait,45300.0,Wave,M,36.0,Rural,Actif
TX0000586,2022-02-11,Ziguinchor,Retrait,56200.0,Orange Money,M,21.0,Rural,Actif
TX0004195,2022-04-13,Tambacounda,Transfert,123600.0,Orange Money,M,45.0,Urbain,Actif
TX0002526,2022-04-26,Thiès,Dépôt,113200.0,Orange Money,F,55.0,Rural,Actif
TX0002130,2022-03-30,Tambacounda,Dépôt,74800.0,Free Money,F,58.0,Rural,Actif
TX0002157,2022-07-10,Diourbel,Dépôt,25300.0,Wizall,F,22.0,Urbain,Actif
TX0002623,2023-05-13,Thiès,Dépôt,139900.0,Orange Money,M,18.0,Urbain,Actif
TX0001175,2022-10-23,Dakar,Recharge,29500.0,Orange Money,M,57.0,Urbain,Actif
TX0001029,2023-03-30,Thiès,Dépôt,54300.0,Wave,F,37.0,Urbain,Actif
TX0002939,2022-01-24,Dakar,Retrait,56800.0,Wizall,M,62.0,Periurbain,Actif
TX0003378,2022-02-18,Ziguinchor,Transfert,128300.0,Wizall,,47.0,Rural,Actif
TX0001590,2023-01-14,Dakar,Transfert,290300.0,Wave,F,40.0,Periurbain,Actif
TX0003414,2023-03-05,Ziguinchor,Dépôt,86500.0,Wave,F,57.0,Urbain,Actif
TX0000485,2023-05-08,Tambacounda,Retrait,21700.0,Free Money,F,30.0,Urbain,Inactif
TX0004923,2023-04-27,Saint-Louis,Retrait,275500.0,Wizall,M,33.0,Periurbain,Inactif
TX0004086,2022-03-13,ZIGUINCHOR,Transfert,8500.0,Orange Money,M,35.0,Periurbain,Actif
TX0000088,2023-05-01,THIÈS,Dépôt,168500.0,Wave,M,27.0,Periurbain,Actif
TX0001697,2022-03-15,Ziguinchor,Recharge,79100.0,Wave,M,45.0,Rural,Actif
TX0004857,2023-05-29,Saint-Louis,Transfert,249000.0,Orange Money,F,18.0,Urbain,Suspendu
TX0000653,2023-02-12,Diourbel,Retrait,72400.0,Wave,M,28.0,Periurbain,Actif
TX0004216,2022-01-23,Saint-Louis,Retrait,101000.0,Wave,M,26.0,Periurbain,Actif
TX0003899,2023-04-08,Tambacounda,Retrait,35000.0,Orange Money,M,18.0,Rural,Actif
TX0002142,2023-01-24,Saint-Louis,Transfert,53400.0,Free Money,M,60.0,Urbain,Actif
TX0001149,2023-04-20,Kaolack,Retrait,25700.0,Wave,M,34.0,Urbain,Actif
TX0003678,2023-03-15,Dakar,Dépôt,22900.0,Orange Money,F,30.0,Urbain,Actif
TX0000144,2022-06-05,Thiès,Recharge,168000.0,Free Money,F,57.0,Rural,Actif
TX0000670,2022-04-05,Kaolack,Dépôt,337800.0,Free Money,M,57.0,Urbain,Actif
TX0003509,2022-02-04,Kaolack,Dépôt,105900.0,Orange Money,M,59.0,Urbain,Actif
TX0004977,2022-04-23,Kaolack,Transfert,161300.0,Wave,F,25.0,Rural,Actif
TX0002596,2022-05-29,Diourbel,Transfert,32200.0,Wizall,F,27.0,Urbain,Actif
