date,annee,mois,prix_tonne_usd,prix_tonne_fcfa,production_tonnes,exportation_tonnes,pluviometrie_mm
2012-11-01,2012,11,890.81,539000,1787000,1641000,1449
2012-12-01,2012,12,759.0,485000,2027000,1648000,1155
2013-01-01,2013,1,813.75,493000,1995000,1747000,1502
2013-02-01,2013,2,740.02,452000,2132000,1649000,974
2013-03-01,2013,3,820.29,500000,2160000,1735000,1657
2013-04-01,2013,4,956.15,580000,2392000,1949000,1518
2013-05-01,2013,5,1046.76,625000,2252000,1805000,1464
2013-06-01,2013,6,1070.65,651000,2022000,1661000,1646
2013-07-01,2013,7,1079.31,639000,1974000,1844000,1816
2013-08-01,2013,8,1061.45,634000,2183000,1651000,1654
2013-09-01,2013,9,973.13,579000,1910000,1455000,940
2013-10-01,2013,10,958.56,576000,2385000,1579000,1080
2013-11-01,2013,11,924.31,576000,2287000,1476000,1244
2013-12-01,2013,12,965.06,561000,2038000,1658000,1407
2014-01-01,2014,1,934.49,567000,1854000,1702000,1529
2014-02-01,2014,2,873.31,510000,2316000,1901000,1219
2014-03-01,2014,3,1027.3,612000,2095000,1739000,1447
2014-04-01,2014,4,1069.17,653000,2299000,1674000,1211
2014-05-01,2014,5,1127.03,677000,1871000,1800000,1247
2014-06-01,2014,6,1237.31,729000,2022000,1435000,1048
2014-07-01,2014,7,1278.73,758000,2113000,1728000,1169
2014-08-01,2014,8,1263.75,767000,2119000,1793000,1062
2014-09-01,2014,9,1145.87,679000,2044000,1523000,1156
2014-10-01,2014,10,1116.25,672000,2206000,1837000,1663
2014-11-01,2014,11,1092.61,656000,1951000,1741000,1163
2014-12-01,2014,12,1085.83,644000,2091000,1650000,2058
2015-01-01,2015,1,1012.15,629000,2133000,1776000,1523
2015-02-01,2015,2,1047.84,635000,2193000,1972000,1446
2015-03-01,2015,3,1054.18,611000,2223000,1722000,1185
2015-04-01,2015,4,1110.65,668000,1945000,1730000,1575
2015-05-01,2015,5,1258.02,746000,1883000,1645000,1256
2015-06-01,2015,6,1320.27,803000,2308000,1598000,1431
2015-07-01,2015,7,1263.78,748000,2165000,1800000,2040
2015-08-01,2015,8,1286.92,771000,2002000,1597000,1376
2015-09-01,2015,9,1205.3,729000,2349000,1709000,1687
2015-10-01,2015,10,1092.52,665000,2132000,1643000,1224
2015-11-01,2015,11,1072.08,630000,2293000,1757000,1391
2015-12-01,2015,12,1076.95,643000,2125000,1740000,1843
2016-01-01,2016,1,986.78,587000,2430000,1825000,1243
2016-02-01,2016,2,1071.53,636000,2384000,1639000,1853
2016-03-01,2016,3,922.78,570000,2080000,1668000,1577
2016-04-01,2016,4,1131.62,684000,2265000,1583000,1259
2016-05-01,2016,5,1150.77,676000,2216000,1647000,1558
2016-06-01,2016,6,1168.29,712000,2325000,1745000,1643
2016-07-01,2016,7,1192.69,741000,1972000,1791000,1555
2016-08-01,2016,8,1074.83,656000,2222000,1589000,1007
2016-09-01,2016,9,1104.55,646000,2278000,1804000,1218
2016-10-01,2016,10,1067.78,635000,1852000,1863000,1338
2016-11-01,2016,11,1059.02,649000,1939000,1750000,1381
2016-12-01,2016,12,929.34,551000,1809000,1925000,1555
2017-01-01,2017,1,906.69,548000,2080000,1607000,1444
2017-02-01,2017,2,944.35,574000,2230000,1551000,1066
2017-03-01,2017,3,1059.98,626000,2349000,1487000,1495
2017-04-01,2017,4,1100.82,660000,2132000,1880000,1553
2017-05-01,2017,5,1128.41,640000,2368000,1779000,1540
2017-06-01,2017,6,1224.76,722000,1912000,1693000,1670
2017-07-01,2017,7,1227.61,733000,1863000,1734000,1608
2017-08-01,2017,8,1257.31,739000,2113000,1565000,1515
2017-09-01,2017,9,1146.8,707000,2179000,1993000,1382
2017-10-01,2017,10,1114.94,653000,2116000,1716000,985
2017-11-01,2017,11,1066.12,635000,1808000,1713000,1507
2017-12-01,2017,12,990.36,596000,2107000,1787000,1452
2018-01-01,2018,1,1071.08,658000,1926000,1758000,1468
2018-02-01,2018,2,1103.12,646000,2226000,1727000,1081
2018-03-01,2018,3,1151.67,704000,2180000,1605000,1130
2018-04-01,2018,4,1214.67,729000,1981000,1757000,1663
2018-05-01,2018,5,1232.53,727000,2046000,1926000,1390
2018-06-01,2018,6,1329.59,804000,1963000,1861000,1570
2018-07-01,2018,7,1355.64,816000,2114000,1891000,1407
2018-08-01,2018,8,1324.47,787000,2269000,1639000,1407
2018-09-01,2018,9,1315.1,790000,1974000,1581000,1635
2018-10-01,2018,10,1287.07,767000,2200000,1685000,1271
2018-11-01,2018,11,1301.31,782000,2044000,1707000,1424
2018-12-01,2018,12,1188.51,721000,2004000,1831000,1284
2019-01-01,2019,1,1184.03,729000,2111000,1497000,1291
2019-02-01,2019,2,1191.58,700000,1970000,1884000,1323
2019-03-01,2019,3,1156.35,718000,2043000,1681000,1456
2019-04-01,2019,4,1302.01,756000,1945000,1649000,1280
2019-05-01,2019,5,1362.89,816000,2425000,1579000,1714
2019-06-01,2019,6,1508.81,914000,2132000,1501000,1176
2019-07-01,2019,7,1397.09,842000,2021000,1799000,1353
2019-08-01,2019,8,1394.06,828000,2160000,1709000,1290
2019-09-01,2019,9,1326.2,793000,2110000,1545000,1762
2019-10-01,2019,10,1207.69,719000,2093000,1545000,1449
2019-11-01,2019,11,1245.97,740000,2220000,1660000,1658
2019-12-01,2019,12,1180.3,718000,2242000,1900000,1029
2020-01-01,2020,1,1162.72,702000,2049000,1669000,1467
2020-02-01,2020,2,1098.93,652000,2042000,1520000,1622
2020-03-01,2020,3,1242.52,757000,2088000,1671000,1421
2020-04-01,2020,4,1170.28,706000,1780000,1667000,1666
2020-05-01,2020,5,1311.99,798000,1899000,1376000,1271
2020-06-01,2020,6,1419.05,860000,2338000,1693000,1752
2020-07-01,2020,7,1282.72,759000,2380000,1672000,1975
2020-08-01,2020,8,1277.52,759000,2092000,1784000,1309
2020-09-01,2020,9,1257.64,764000,2218000,1922000,1289
2020-10-01,2020,10,1167.78,708000,2177000,1835000,1763
2020-11-01,2020,11,1061.47,637000,2598000,1668000,1795
2020-12-01,2020,12,1094.48,658000,2300000,1567000,1269
2021-01-01,2021,1,1034.0,634000,2114000,2009000,1295
2021-02-01,2021,2,1126.97,670000,1987000,1707000,1330
2021-03-01,2021,3,1116.14,676000,1888000,1702000,1064
2021-04-01,2021,4,1294.5,774000,2164000,1697000,1170
2021-05-01,2021,5,1255.74,751000,2018000,1724000,1149
2021-06-01,2021,6,1325.9,810000,1916000,1683000,1208
2021-07-01,2021,7,1398.58,851000,2034000,1631000,1391
2021-08-01,2021,8,1297.06,789000,1968000,1634000,1459
2021-09-01,2021,9,1327.36,814000,2390000,1696000,1788
2021-10-01,2021,10,1327.23,797000,2267000,1635000,1150
2021-11-01,2021,11,1150.16,698000,2132000,1614000,1646
2021-12-01,2021,12,1203.25,718000,2358000,1713000,1347
2022-01-01,2022,1,1208.18,729000,2148000,1669000,1388
2022-02-01,2022,2,1265.28,758000,2005000,1880000,1569
2022-03-01,2022,3,1234.51,742000,2368000,1382000,1119
2022-04-01,2022,4,1304.54,790000,2218000,1831000,1496
2022-05-01,2022,5,1458.43,863000,1978000,1850000,1442
2022-06-01,2022,6,1500.61,932000,2107000,1451000,1523
2022-07-01,2022,7,1521.07,897000,2002000,1659000,1472
2022-08-01,2022,8,1514.89,891000,1925000,1655000,2014
2022-09-01,2022,9,1430.49,875000,2277000,1531000,1241
2022-10-01,2022,10,1418.07,862000,2427000,1607000,1267
2022-11-01,2022,11,1368.35,830000,1923000,1567000,1244
2022-12-01,2022,12,1287.24,780000,2222000,1910000,1261
2023-01-01,2023,1,1395.13,837000,2040000,1812000,1241
2023-02-01,2023,2,1354.98,801000,2065000,1853000,1697
2023-03-01,2023,3,1327.81,798000,2048000,1787000,1755
2023-04-01,2023,4,1471.48,873000,2007000,1565000,1257
2023-05-01,2023,5,1455.05,887000,2146000,1637000,1192
2023-06-01,2023,6,1572.11,941000,2012000,1759000,1518
2023-07-01,2023,7,1596.61,945000,2180000,1553000,1262
2023-08-01,2023,8,1482.29,885000,2131000,1786000,1558
2023-09-01,2023,9,1509.84,912000,2102000,1671000,1451
2023-10-01,2023,10,1417.58,843000,2000000,1655000,1021
2023-11-01,2023,11,1370.27,811000,2051000,1785000,1787
2023-12-01,2023,12,1370.55,826000,2254000,1753000,1849
2024-01-01,2024,1,1254.81,756000,2219000,1657000,1247
2024-02-01,2024,2,1244.66,740000,1992000,1839000,1303
2024-03-01,2024,3,1278.1,761000,2157000,1570000,1471
2024-04-01,2024,4,1335.38,804000,2257000,1774000,1484
2024-05-01,2024,5,1420.84,832000,1887000,1771000,1565
2024-06-01,2024,6,1474.56,864000,2225000,1663000,1903
